sample_label,survey_year,admin_region,cohort_exposure_group,low_parent_education,n
full_linked,2021,Andijan region,comparison_no_overlap,0,34
full_linked,2021,Andijan region,comparison_no_overlap,1,20
full_linked,2021,Andijan region,full_overlap_4,0,45
full_linked,2021,Andijan region,full_overlap_4,1,43
full_linked,2021,Andijan region,partial_overlap_1_2,0,33
full_linked,2021,Andijan region,partial_overlap_1_2,1,30
full_linked,2021,Andijan region,partial_overlap_3,0,16
full_linked,2021,Andijan region,partial_overlap_3,1,9
full_linked,2021,Bukhara region,comparison_no_overlap,0,45
full_linked,2021,Bukhara region,comparison_no_overlap,1,19
full_linked,2021,Bukhara region,full_overlap_4,0,45
full_linked,2021,Bukhara region,full_overlap_4,1,41
full_linked,2021,Bukhara region,partial_overlap_1_2,0,35
full_linked,2021,Bukhara region,partial_overlap_1_2,1,18
full_linked,2021,Bukhara region,partial_overlap_3,0,24
full_linked,2021,Bukhara region,partial_overlap_3,1,14
full_linked,2021,Fergana region,comparison_no_overlap,0,71
full_linked,2021,Fergana region,comparison_no_overlap,1,12
full_linked,2021,Fergana region,full_overlap_4,0,84
full_linked,2021,Fergana region,full_overlap_4,1,10
full_linked,2021,Fergana region,partial_overlap_1_2,0,62
full_linked,2021,Fergana region,partial_overlap_1_2,1,11
full_linked,2021,Fergana region,partial_overlap_3,0,37
full_linked,2021,Fergana region,partial_overlap_3,1,4
full_linked,2021,Jizzakh region,comparison_no_overlap,0,33
full_linked,2021,Jizzakh region,comparison_no_overlap,1,34
full_linked,2021,Jizzakh region,full_overlap_4,0,31
full_linked,2021,Jizzakh region,full_overlap_4,1,44
full_linked,2021,Jizzakh region,partial_overlap_1_2,0,32
full_linked,2021,Jizzakh region,partial_overlap_1_2,1,28
full_linked,2021,Jizzakh region,partial_overlap_3,0,18
full_linked,2021,Jizzakh region,partial_overlap_3,1,11
full_linked,2021,Kashkadarya region,comparison_no_overlap,0,49
full_linked,2021,Kashkadarya region,comparison_no_overlap,1,48
full_linked,2021,Kashkadarya region,full_overlap_4,0,67
full_linked,2021,Kashkadarya region,full_overlap_4,1,47
full_linked,2021,Kashkadarya region,partial_overlap_1_2,0,52
full_linked,2021,Kashkadarya region,partial_overlap_1_2,1,38
full_linked,2021,Kashkadarya region,partial_overlap_3,0,32
full_linked,2021,Kashkadarya region,partial_overlap_3,1,18
full_linked,2021,Khorezm region,comparison_no_overlap,0,32
full_linked,2021,Khorezm region,comparison_no_overlap,1,35
full_linked,2021,Khorezm region,full_overlap_4,0,42
full_linked,2021,Khorezm region,full_overlap_4,1,49
full_linked,2021,Khorezm region,partial_overlap_1_2,0,36
full_linked,2021,Khorezm region,partial_overlap_1_2,1,33
full_linked,2021,Khorezm region,partial_overlap_3,0,22
full_linked,2021,Khorezm region,partial_overlap_3,1,22
full_linked,2021,Namangan region,comparison_no_overlap,0,40
full_linked,2021,Namangan region,comparison_no_overlap,1,37
full_linked,2021,Namangan region,full_overlap_4,0,54
full_linked,2021,Namangan region,full_overlap_4,1,39
full_linked,2021,Namangan region,partial_overlap_1_2,0,43
full_linked,2021,Namangan region,partial_overlap_1_2,1,28
full_linked,2021,Namangan region,partial_overlap_3,0,17
full_linked,2021,Namangan region,partial_overlap_3,1,16
full_linked,2021,Navoi region,comparison_no_overlap,0,26
full_linked,2021,Navoi region,comparison_no_overlap,1,13
full_linked,2021,Navoi region,full_overlap_4,0,44
full_linked,2021,Navoi region,full_overlap_4,1,17
full_linked,2021,Navoi region,partial_overlap_1_2,0,24
full_linked,2021,Navoi region,partial_overlap_1_2,1,17
full_linked,2021,Navoi region,partial_overlap_3,0,12
full_linked,2021,Navoi region,partial_overlap_3,1,13
full_linked,2021,Republic of Karakalpakstan,comparison_no_overlap,0,44
full_linked,2021,Republic of Karakalpakstan,comparison_no_overlap,1,14
full_linked,2021,Republic of Karakalpakstan,full_overlap_4,0,65
full_linked,2021,Republic of Karakalpakstan,full_overlap_4,1,33
full_linked,2021,Republic of Karakalpakstan,partial_overlap_1_2,0,39
full_linked,2021,Republic of Karakalpakstan,partial_overlap_1_2,1,11
full_linked,2021,Republic of Karakalpakstan,partial_overlap_3,0,29
full_linked,2021,Republic of Karakalpakstan,partial_overlap_3,1,13
full_linked,2021,Samarkand region,comparison_no_overlap,0,50
full_linked,2021,Samarkand region,comparison_no_overlap,1,63
full_linked,2021,Samarkand region,full_overlap_4,0,59
full_linked,2021,Samarkand region,full_overlap_4,1,53
full_linked,2021,Samarkand region,partial_overlap_1_2,0,44
full_linked,2021,Samarkand region,partial_overlap_1_2,1,37
full_linked,2021,Samarkand region,partial_overlap_3,0,26
