survey_year,extract_folder,file_name,module_code,module_stub,core_domain,n_rows,n_cols,files_in_domain,variables_observed,variables_present_all_years,stable_variable_share,domain_available_this_year,domain_available_all_5y
2021,20220105,uzb_hbs_2021_20220105_m00_passport.dta,m00,m00_passport,welfare,12684,28,4,906,43,0.04746136865342163,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_weight.dta,m00,m00_weight,weights,10601,9,3,19,7,0.3684210526315789,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_weight1.dta,m00,m00_weight1,weights,208,7,3,19,7,0.3684210526315789,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m00_weight2.dta,m00,m00_weight2,weights,208,7,3,19,7,0.3684210526315789,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m01_roster.dta,m01,m01_roster,roster,54323,20,1,81,17,0.20987654320987653,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m02_migration.dta,m02,m02_migration,migration,54323,51,1,65,47,0.7230769230769231,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m03_education.dta,m03,m03_education,education,54323,38,1,55,33,0.6,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m04_health.dta,m04,m04_health,other,54323,72,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m05_employment.dta,m05,m05_employment,other,54323,73,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m06_banking.dta,m06,m06_banking,other,54323,23,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m07_socben.dta,m07,m07_socben,welfare,1032137,29,4,906,43,0.04746136865342163,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m08_nonwage.dta,m08,m08_nonwage,other,318144,14,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m09_food.dta,m09,m09_food,welfare,911686,44,4,906,43,0.04746136865342163,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m10_nfa.dta,m10,m10_nfa,other,413439,16,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m10_nfb.dta,m10,m10_nfb,other,466444,15,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m10_nfc1.dta,m10,m10_nfc1,other,148911,18,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m10_nfc2.dta,m10,m10_nfc2,other,164067,19,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m10_nfd.dta,m10,m10_nfd,other,190818,21,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m11_dwelling.dta,m11,m11_dwelling,welfare,10601,198,4,906,43,0.04746136865342163,TRUE,TRUE
2021,20220105,uzb_hbs_2021_20220105_m12_tourism.dta,m12,m12_tourism,other,46355,58,NA,NA,NA,NA,FALSE,FALSE
2021,20220105,uzb_hbs_2021_20220105_m13_internet.dta,m13,m13_internet,internet,54323,201,1,252,0,0,TRUE,FALSE
2022,20221231,uzb_hbs_2022_20221231_m00_passport.dta,m00,m00_passport,welfare,15416,28,5,906,43,0.04746136865342163,TRUE,TRUE
2022,20221231,uzb_hbs_2022_20221231_M00_weight.dta,M00,M00_weight,weights,14132,11,1,19,7,0.3684210526315789,TRUE,TRUE
2022,20221231,uzb_hbs_2022_20221231_m01_roster.dta,m01,m01_roster,roster,72248,23,1,81,17,0.20987654320987653,TRUE,TRUE
2022,20221231,uzb_hbs_2022_20221231_m02_migration.dta,m02,m02_migration,migration,72248,56,1,65,47,0.7230769230769231,TRUE,TRUE
2022,20221231,uzb_hbs_2022_20221231_m03_education.dta,m03,m03_education,education,72248,41,1,55,33,0.6,TRUE,TRUE
2022,20221231,uzb_hbs_2022_20221231_m04_health.dta,m04,m04_health,other,72251,74,NA,NA,NA,NA,FALSE,FALSE
2022,20221231,uzb_hbs_2022_20221231_m05_employment.dta,m05,m05_employment,other,72248,79,NA,NA,NA,NA,FALSE,FALSE
2022,20221231,uzb_hbs_2022_20221231_m06_banking.dta,m06,m06_banking,other,72248,26,NA,NA,NA,NA,FALSE,FALSE
