age_window,survey_year,eligible_sample_n,linked_sample_n,link_rate,linked_to_mother_rate,linked_to_father_rate,usable_parent_proxy_share,immigrant_share
18_24,2021,5916,3627,0.6130831643002028,0.6018829629421949,0.5468959422289407,0.6115153041142419,1
18_24,2022,7351,0,0,0,0,0,0.01572910665456705
18_24,2023,7839,0,0,0,0,0,0.02696339669987141
18_24,2024,7839,0,0,0,0,0,0.028166537375927066
18_24,2025,7773,4597,0.5914061494918307,0.5761156831528409,0.5206583227901965,0.5813610271325671,0.02453886007950701
22_30,2021,8491,4440,0.5229066069956424,0.5091749996881438,0.44407163756815005,0.5246129148836072,1
22_30,2022,10586,0,0,0,0,0,0.0212173495973744
22_30,2023,11199,0,0,0,0,0,0.03147639624010701
22_30,2024,10293,0,0,0,0,0,0.03164894220239413
22_30,2025,9928,4953,0.49889202256244963,0.48577170559826865,0.41980994103218716,0.4971532404825851,0.0323014918276385
25_35,2021,10189,4882,0.47914417509078416,0.4616850475989101,0.38866642073660546,0.483333958283381,1
25_35,2022,13250,0,0,0,0,0,0.02396946019613726
25_35,2023,14566,0,0,0,0,0,0.033549704579596724
25_35,2024,13186,0,0,0,0,0,0.033321270467141804
25_35,2025,12972,6032,0.46500154178230035,0.4461544356519414,0.3707970420502686,0.4649594377906984,0.03084359972591377
