excluded_region,sample_n,quartile_1_rate,quartile_4_rate,top_bottom_gap,top_half_bottom_half_gap
all_regions,4114,0.007809103127853671,0.01733194741551183,0.00952284428765816,0.008045875246541132
Andijan region,3819,0.0069657503457355744,0.018544019828764812,0.011578269483029237,0.008999570648850293
Bukhara region,3853,0.007498911538793213,0.009345760808165196,0.0018468492693719833,0.005055398262715717
Fergana region,3840,0.007528512912530254,0.018489346478375066,0.010960833565844812,0.007897255244247229
Jizzakh region,3770,0.008061061744750584,0.01867097627651684,0.010609914531766256,0.007818654629900695
Kashkadarya region,3798,0.00634393541180303,0.018594916525462944,0.012250981113659912,0.00925920539398915
Khorezm region,3802,0.007618227275595716,0.01858330291299997,0.010965075637404254,0.01054649896276616
Namangan region,3875,0.003554294410929209,0.018385189731466838,0.01483089532053763,0.010480963901471537
Navoi region,3875,0.007456822566508422,0.017049887900199387,0.009593065333690965,0.009257544125026364
Republic of Karakalpakstan,3752,0.007706713460409206,0.01591607453505219,0.008209361074642983,0.008204650913992756
Samarkand region,3772,0.008674885783999688,0.01867097627651684,0.009996090492517151,0.008537497992993198
Surkhandarya region,3825,0.008265773247890665,0.01852059698453463,0.010254823736643966,0.008501351495970307
Syrdarya region,3847,0.007518818061818013,0.018466061457923146,0.010947243396105134,0.008763087480690882
Tashkent city,3916,0.008226741814188816,0.0173475007180977,0.009120758903908885,0.009520915050700778
Tashkent region,3738,0.007739318170384991,0.019472350949627557,0.011733032779242565,0.008135277218630013
