"year","code","label"
2021,1," Head"
2021,2," Spouse/Partner"
2021,3," Son/Daughter"
2021,4," Son/Daughter-in-law"
2021,5," Father/Mother"
2021,6," Father/Mother-in-law"
2021,7," Sister/brother"
2021,8," Grandchild"
2021,9," Great-grandchild"
2021,10," Grandparent"
2021,11," Niece/Nephew"
2021,12," Other relative"
2021,13," Not related"
2022,1," Уй хўжалиги бошлиғи"
2022,2," Эри / хотини"
2022,3," Ўғли, қизи"
2022,4," Куёв / келин"
2022,5," Ота, она"
2022,6," Қайнота / қайнона"
2022,7," Опа-сингил/ака-ука"
2022,8," Невара"
2022,9," Эвара"
2022,10," Буви ёки бува"
2022,11," Жиян"
2022,12," Бошқа қариндош"
2022,13," Қариндош эмас"
2023,1," Уй хўжалиги бошлиғи"
2023,2," Эри / хотини"
2023,3," Ўғли, қизи"
2023,4," Куёв / келин"
2023,5," Ота, она"
2023,6," Қайнота / қайнона"
2023,7," Опа-сингил/ака-ука"
2023,8," Невара"
2023,9," Эвара"
2023,10," Буви ёки бува"
2023,11," Жиян"
2023,12," Бошқа қариндош"
2023,13," Қариндош эмас"
2024,1," Уй хўжалиги бошлиғи"
2024,2," Эри / хотини"
2024,3," Ўғли, қизи"
2024,4," Куёв / келин"
2024,5," Ота, она"
2024,6," Қайнота / қайнона"
2024,7," Опа-сингил/ака-ука"
2024,8," Невара"
2024,9," Эвара"
2024,10," Буви ёки бува"
2024,11," Жиян"
2024,12," Бошқа қариндош"
2024,13," Қариндош эмас"
2025,1," Head"
2025,2," Spouse/Partner"
2025,3," Son/Daughter"
2025,4," Son/Daughter-in-law"
2025,5," Father/Mother"
2025,6," Father/Mother-in-law"
2025,7," Sister/brother"
2025,8," Grandchild"
2025,9," Great-grandchild"
2025,10," Grandparent"
2025,11," Niece/Nephew"
2025,12," Other relative"
2025,13," Not related"
