wave,var,label
2006,adults,
2006,age1,
2006,age10,
2006,age11,
2006,age12,
2006,age2,
2006,age3,
2006,age4,
2006,age5,
2006,age6,
2006,age7,
2006,age8,
2006,age9,
2006,ageA,
2006,ageB,
2006,ageB_degree,
2006,child,
2006,city,
2006,country,
2006,countryname,
2006,decile,
2006,eqsize,
2006,exp_ae,
2006,genderA,
2006,genderB,
2006,hhsize,
2006,id,
2006,igroup,
2006,pcexp,
2006,q101_1,
2006,q101_10,
2006,q101_11,
2006,q101_12,
2006,q101_2,
2006,q101_3,
2006,q101_4,
2006,q101_5,
2006,q101_6,
2006,q101_7,
2006,q101_8,
2006,q101_9,
2006,q102_1,
2006,q102_10,
2006,q102_11,
2006,q102_12,
2006,q102_2,
2006,q102_3,
2006,q102_4,
2006,q102_5,
2006,q102_6,
2006,q102_7,
2006,q102_8,
2006,q102_9,
2006,q103_1,
2006,q103_10,
2006,q103_11,
2006,q103_12,
2006,q103_2,
2006,q103_3,
2006,q103_4,
2006,q103_5,
2006,q103_6,
2006,q103_7,
2006,q103_8,
2006,q103_9,
2006,q104_10d,
2006,q104_10m,
2006,q104_10y,
2006,q104_11d,
2006,q104_11m,
2006,q104_11y,
2006,q104_12d,
2006,q104_12m,
2006,q104_12y,
2006,q104_1d,
2006,q104_1m,
2006,q104_1y,
2006,q104_2d,
2006,q104_2m,
2006,q104_2y,
2006,q104_3d,
2006,q104_3m,
2006,q104_3y,
2006,q104_4d,
2006,q104_4m,
2006,q104_4y,
2006,q104_5d,
2006,q104_5m,
2006,q104_5y,
2006,q104_6d,
2006,q104_6m,
2006,q104_6y,
2006,q104_7d,
2006,q104_7m,
2006,q104_7y,
2006,q104_8d,
2006,q104_8m,
2006,q104_8y,
2006,q104_9d,
2006,q104_9m,
2006,q104_9y,
2006,q104_d1,
2006,q104_d10,
2006,q104_d11,
2006,q104_d12,
2006,q104_d2,
2006,q104_d3,
2006,q104_d4,
2006,q104_d5,
2006,q104_d6,
2006,q104_d7,
2006,q104_d8,
2006,q104_d9,
2006,q104_m1,
2006,q104_m10,
2006,q104_m11,
2006,q104_m12,
2006,q104_m2,
2006,q104_m3,
2006,q104_m4,
2006,q104_m5,
2006,q104_m6,
2006,q104_m7,
2006,q104_m8,
2006,q104_m9,
2006,q104_y1,
2006,q104_y10,
2006,q104_y11,
2006,q104_y12,
2006,q104_y2,
2006,q104_y3,
2006,q104_y4,
2006,q104_y5,
2006,q104_y6,
2006,q104_y7,
2006,q104_y8,
2006,q104_y9,
2006,q105_1,
2006,q105_10,
2006,q105_11,
2006,q105_12,
2006,q105_2,
2006,q105_3,
2006,q105_4,
2006,q105_5,
2006,q105_6,
2006,q105_7,
2006,q105_8,
2006,q105_9,
2006,q201,
2006,q202,
2006,q203,
2006,q204,
2006,q205a1,
2006,q205a2,
2006,q205a3,
2006,q205a4,
2006,q205a5,
2006,q205a6,
2006,q205b1,
2006,q205b2,
2006,q205b3,
2006,q205b4,
2006,q205b5,
2006,q206_1,
2006,q206_2,
2006,q206_3,
2006,q207,
2006,q207_1,
2006,q207_2,
2006,q207_3,
2006,q207_4,
2006,q208_1,
2006,q208_2,
2006,q208_3,
2006,q208_4,
2006,q208_5,
2006,q209_1,
2006,q209_2,
2006,q209_3,
2006,q209_4,
2006,q209_5,
2006,q209_6,
2006,q209_7,
2006,q210a1,
2006,q210a10,
2006,q210a11,
2006,q210a12,
2006,q210a13,
2006,q210a14,
2006,q210a2,
2006,q210a3,
2006,q210a4,
2006,q210a5,
2006,q210a6,
2006,q210a7,
2006,q210a8,
2006,q210a9,
2006,q210b,
2006,q211,
2006,q212,
2006,q213,
2006,q214,
2006,q215,
2006,q301_1,
2006,q301_10,
2006,q301_11,
2006,q301_2,
2006,q301_3,
2006,q301_4,
2006,q301_5,
2006,q301_6,
2006,q301_7,
2006,q301_8,
2006,q301_9,
2006,q302_1,
2006,q302_2,
2006,q303_1,
2006,q303_10,
2006,q303_11,
2006,q303_12,
2006,q303_2,
2006,q303_3,
2006,q303_4,
2006,q303_5,
2006,q303_6,
2006,q303_7,
2006,q303_8,
2006,q303_9,
2006,q304a,
2006,q304b,
2006,q305_1,
2006,q305_2,
2006,q305_3,
2006,q305_4,
2006,q305_5,
2006,q305_6,
2006,q306,
2006,q307,
2006,q308,
2006,q309,
2006,q310,
2006,q311,
2006,q312_1,
2006,q312_10,
2006,q312_2,
2006,q312_3,
2006,q312_4,
2006,q312_5,
2006,q312_6,
2006,q312_7,
2006,q312_8,
2006,q312_9,
2006,q313_1,
2006,q313_2,
2006,q313_3,
2006,q313_4,
2006,q313_5,
2006,q313_6,
2006,q313_7,
2006,q313_8,
2006,q314_1,
2006,q314_2,
2006,q314_3,
2006,q314_4,
2006,q314_5,
2006,q314_6,
2006,q314_7,
2006,q314_8,
2006,q315_1,
2006,q315_2,
2006,q315_3,
2006,q315_4,
2006,q315_5,
2006,q315_6,
2006,q315_7,
2006,q315_8,
2006,q401,
2006,q403a_1,
2006,q403a_10,
2006,q403a_11,
2006,q403a_12,
2006,q403a_2,
2006,q403a_3,
2006,q403a_4,
2006,q403a_5,
2006,q403a_6,
2006,q403a_7,
2006,q403a_8,
2006,q403a_9,
2006,q403b_1,
2006,q403b_10,
2006,q403b_11,
2006,q403b_12,
2006,q403b_2,
2006,q403b_3,
2006,q403b_4,
2006,q403b_5,
2006,q403b_6,
2006,q403b_7,
2006,q403b_8,
2006,q403b_9,
2006,q403c_1,
2006,q403c_10,
2006,q403c_11,
2006,q403c_12,
2006,q403c_2,
2006,q403c_3,
2006,q403c_4,
2006,q403c_5,
2006,q403c_6,
2006,q403c_7,
2006,q403c_8,
2006,q403c_9,
2006,q403d_1,
2006,q403d_10,
2006,q403d_11,
2006,q403d_12,
2006,q403d_2,
2006,q403d_3,
2006,q403d_4,
2006,q403d_5,
2006,q403d_6,
2006,q403d_7,
2006,q403d_8,
2006,q403d_9,
2006,q403e_1,
2006,q403e_10,
2006,q403e_11,
2006,q403e_12,
2006,q403e_2,
2006,q403e_3,
2006,q403e_4,
2006,q403e_5,
2006,q403e_6,
2006,q403e_7,
2006,q403e_8,
2006,q403e_9,
2006,q404a,
2006,q404b,
2006,q404c,
2006,q404d,
2006,q404e,
2006,q405a,
2006,q405b,
2006,q405c,
2006,q405d,
2006,q405e,
2006,q406a,
2006,q406b,
2006,q406c,
2006,q406d,
2006,q406e,
2006,q407a,
2006,q407b,
2006,q407c,
2006,q407d,
2006,q407e,
2006,q408a1,
2006,q408a2,
2006,q408a3,
2006,q408a4,
2006,q408b1,
2006,q408b2,
2006,q408b3,
2006,q408b4,
2006,q408c1,
2006,q408c2,
2006,q408c3,
2006,q408c4,
2006,q408d1,
2006,q408d2,
2006,q408d3,
2006,q408d4,
2006,q408e1,
2006,q408e2,
2006,q408e3,
2006,q408e4,
2006,q409a,
2006,q409b,
2006,q409c,
2006,q409d,
2006,q409e,
2006,q410a,
2006,q410b,
2006,q410c,
2006,q410d,
2006,q410e,
2006,q411a,
2006,q411b,
2006,q411c,
2006,q411d,
2006,q411e,
2006,q412a,
2006,q412b,
2006,q412c,
2006,q412d,
2006,q412e,
2006,q413a,
2006,q413b,
2006,q413c,
2006,q413d,
2006,q413e,
2006,q414,
2006,q501,
2006,q502,
2006,q503,
2006,q504,
2006,q505,
2006,q506,
2006,q507,
2006,q508,
2006,q509,
2006,q510,
2006,q511,
2006,q512,
2006,q513,
2006,q514_1,
2006,q514_2,
2006,q515,
2006,q516,
2006,q601a_1,
2006,q601a_10,
2006,q601a_11,
2006,q601a_12,
2006,q601a_13,
2006,q601a_14,
2006,q601a_15,
2006,q601a_16,
2006,q601a_17,
2006,q601a_18,
2006,q601a_19,
2006,q601a_2,
2006,q601a_3,
2006,q601a_4,
2006,q601a_5,
2006,q601a_6,
2006,q601a_7,
2006,q601a_8,
2006,q601a_9,
2006,q601b_1,
2006,q601b_10,
2006,q601b_11,
2006,q601b_12,
2006,q601b_13,
2006,q601b_14,
2006,q601b_15,
2006,q601b_16,
2006,q601b_17,
2006,q601b_18,
2006,q601b_19,
2006,q601b_2,
2006,q601b_3,
2006,q601b_4,
2006,q601b_5,
2006,q601b_6,
2006,q601b_7,
2006,q601b_8,
2006,q601b_9,
2006,q601c_1,
2006,q601c_10,
2006,q601c_11,
2006,q601c_12,
2006,q601c_13,
2006,q601c_14,
2006,q601c_15,
2006,q601c_16,
2006,q601c_17,
2006,q601c_18,
2006,q601c_19,
2006,q601c_2,
2006,q601c_3,
2006,q601c_4,
2006,q601c_5,
2006,q601c_6,
2006,q601c_7,
2006,q601c_8,
2006,q601c_9,
2006,q601d_1,
2006,q601d_10,
2006,q601d_11,
2006,q601d_12,
2006,q601d_13,
2006,q601d_14,
2006,q601d_15,
2006,q601d_16,
2006,q601d_17,
2006,q601d_18,
2006,q601d_19,
2006,q601d_2,
2006,q601d_3,
2006,q601d_4,
2006,q601d_5,
2006,q601d_6,
2006,q601d_7,
2006,q601d_8,
2006,q601d_9,
2006,q601e_1,
2006,q601e_10,
2006,q601e_11,
2006,q601e_12,
2006,q601e_13,
2006,q601e_14,
2006,q601e_15,
2006,q601e_16,
2006,q601e_17,
2006,q601e_18,
2006,q601e_19,
2006,q601e_2,
2006,q601e_3,
2006,q601e_4,
2006,q601e_5,
2006,q601e_6,
2006,q601e_7,
2006,q601e_8,
2006,q601e_9,
2006,q601f_1,
