"file","module","var"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","time"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","start_date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","end_date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","start_time"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","end_time"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","gps"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","icode"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","agreement"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","refusal"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","refusal_other"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","hhsize"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","sid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_passport"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_m1_m7"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_nonwage"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_food"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_nonfood"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_dwelling"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_tourism"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","dur_total"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","uuid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","respondent_phone"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","refusalz"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta","m00_passport","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","urban"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","strata"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","popw"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","indw"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta","m00_weight","uwgt"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","urban"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","strata"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","strat_pop"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","popw"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight1.dta","m00_weight1","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","urban"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","strata"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","strat_pop"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","popw"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight2.dta","m00_weight2","hy"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","iid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","sid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","hhid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","fmid"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","date"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","province"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","mahalla"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","icode"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","agreement"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","hhsize"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","gender"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","age"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","relationship"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_native"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_second"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","language_third"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","marital_status"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta","m01_roster","uuid"
