"file","year","module","var","topic"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_passport.dta",2021,"m00_passport","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m00_weight.dta",2021,"m00_weight","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta",2021,"m01_roster","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m01_roster.dta",2021,"m01_roster","relationship","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta",2021,"m02_migration","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m02_migration.dta",2021,"m02_migration","relationship","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m03_education.dta",2021,"m03_education","relationship","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta",2021,"m13_internet","hhid","parent_child"
"data/raw/hbs/20220105/uzb_hbs_2021_20220105_m13_internet.dta",2021,"m13_internet","relationship","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m00_passport.dta",2022,"m00_passport","hhid","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m01_roster.dta",2022,"m01_roster","hhid","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m01_roster.dta",2022,"m01_roster","relationship","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m02_migration.dta",2022,"m02_migration","hhid","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m02_migration.dta",2022,"m02_migration","relationship","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","hhid","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m03_education.dta",2022,"m03_education","relationship","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m13_internet.dta",2022,"m13_internet","hhid","parent_child"
"data/raw/hbs/20221231/uzb_hbs_2022_20221231_m13_internet.dta",2022,"m13_internet","relationship","parent_child"
