"module","var","2021","2022","2023","2024","2025"
"m00_passport","agreement",1,1,1,1,1
"m00_passport","date",1,1,1,1,1
"m00_passport","dur_dwelling",1,1,1,1,0
"m00_passport","dur_food",1,1,1,1,1
"m00_passport","dur_m1_m7",1,1,1,1,0
"m00_passport","dur_nonfood",1,1,1,1,1
"m00_passport","dur_nonwage",1,1,1,1,1
"m00_passport","dur_passport",1,1,1,1,1
"m00_passport","dur_total",1,1,1,1,1
"m00_passport","dur_tourism",1,1,1,1,0
"m00_passport","end_date",1,1,1,1,1
"m00_passport","end_time",1,1,1,1,1
"m00_passport","gps",1,0,0,0,0
"m00_passport","hhid",1,1,1,1,1
"m00_passport","hhsize",1,1,1,1,1
"m00_passport","hy",1,0,0,0,0
"m00_passport","icode",1,1,1,1,1
"m00_passport","mahalla",1,1,1,1,1
"m00_passport","province",1,1,1,1,1
"m00_passport","refusal",1,1,1,1,1
"m00_passport","refusal_other",1,0,0,0,0
"m00_passport","refusalz",1,1,1,1,1
"m00_passport","respondent_phone",1,1,1,1,0
"m00_passport","sid",1,1,1,1,1
"m00_passport","start_date",1,1,1,1,1
"m00_passport","start_time",1,1,1,1,1
"m00_passport","time",1,1,1,1,1
"m00_passport","uuid",1,1,1,1,0
"m00_weight","hhid",1,0,1,1,1
"m00_weight","hy",1,0,0,0,0
"m00_weight","indw",1,0,1,1,1
"m00_weight","mahalla",1,0,1,1,1
"m00_weight","popw",1,0,1,1,1
"m00_weight","province",1,0,1,1,1
"m00_weight","strata",1,0,1,1,1
"m00_weight","urban",1,0,1,1,1
"m00_weight","uwgt",1,0,0,0,0
"m00_weight1","hy",1,0,0,0,0
"m00_weight1","mahalla",1,0,0,0,0
"m00_weight1","popw",1,0,0,0,0
"m00_weight1","province",1,0,0,0,0
"m00_weight1","strat_pop",1,0,0,0,0
"m00_weight1","strata",1,0,0,0,0
"m00_weight1","urban",1,0,0,0,0
"m00_weight2","hy",1,0,0,0,0
"m00_weight2","mahalla",1,0,0,0,0
"m00_weight2","popw",1,0,0,0,0
"m00_weight2","province",1,0,0,0,0
"m00_weight2","strat_pop",1,0,0,0,0
"m00_weight2","strata",1,0,0,0,0
"m00_weight2","urban",1,0,0,0,0
"m01_roster","age",1,1,1,1,1
"m01_roster","agreement",1,1,1,1,1
"m01_roster","date",1,1,1,1,1
"m01_roster","fmid",1,1,1,1,1
"m01_roster","gender",1,1,1,1,1
"m01_roster","hhid",1,1,1,1,1
"m01_roster","hhsize",1,1,1,1,1
"m01_roster","hy",1,0,0,0,0
"m01_roster","icode",1,1,1,1,1
"m01_roster","iid",1,1,1,1,1
"m01_roster","language_native",1,1,1,1,1
"m01_roster","language_second",1,1,1,1,1
"m01_roster","language_third",1,1,1,1,1
"m01_roster","m00uuid",1,0,0,0,0
"m01_roster","mahalla",1,1,1,1,1
"m01_roster","marital_status",1,1,1,1,1
"m01_roster","province",1,1,1,1,1
"m01_roster","relationship",1,1,1,1,1
"m01_roster","sid",1,1,1,1,1
"m01_roster","uuid",1,1,1,1,0
"m02_migration","age",1,1,1,1,1
"m02_migration","agreement",1,1,1,1,1
"m02_migration","date",1,1,1,1,1
"m02_migration","emig",1,1,1,1,1
"m02_migration","emig_country",1,1,1,1,1
"m02_migration","emig_remit",1,1,1,1,1
"m02_migration","emig_remit_method",1,1,1,1,1
"m02_migration","emig_remit_use",1,1,1,1,1
"m02_migration","emig_remit_use_car",1,1,1,1,1
"m02_migration","emig_remit_use_debt",1,1,1,1,1
"m02_migration","emig_remit_use_educ",1,1,1,1,1
"m02_migration","emig_remit_use_food",1,1,1,1,1
"m02_migration","emig_remit_use_health",1,1,1,1,1
"m02_migration","emig_remit_use_housing",1,1,1,1,1
"m02_migration","emig_remit_use_other",1,1,1,1,1
"m02_migration","emig_remit_use_other_txt",1,1,1,1,1
"m02_migration","emig_remit_use_recreation",1,1,1,1,1
"m02_migration","emig_remit_use_savings",1,1,1,1,1
"m02_migration","emig_remit_use_travel",1,1,1,1,1
"m02_migration","emig_remit_use_wedding",1,1,1,1,1
"m02_migration","emig_remit_val",1,1,1,1,1
"m02_migration","emig_return",1,1,1,1,1
"m02_migration","emig_return_year",1,1,1,1,1
"m02_migration","emig_work",1,1,1,1,1
"m02_migration","emig_work_agency",1,1,1,1,1
"m02_migration","emig_work_legal",1,1,1,1,1
"m02_migration","emig_work_legally",1,0,0,0,0
"m02_migration","emig_year",1,1,1,1,1
"m02_migration","fmid",1,1,1,1,1
"m02_migration","gender",1,1,1,1,1
"m02_migration","hhid",1,1,1,1,1
"m02_migration","hhsize",1,1,1,1,1
"m02_migration","hy",1,0,0,0,0
"m02_migration","icode",1,1,1,1,1
"m02_migration","iid",1,1,1,1,1
"m02_migration","immig",1,1,1,1,1
"m02_migration","immig_country",1,1,1,1,1
"m02_migration","immig_district",1,1,1,1,1
"m02_migration","immig_province",1,1,1,1,1
"m02_migration","immig_reason",1,1,1,1,1
"m02_migration","immig_year",1,1,1,1,1
"m02_migration","language_native",1,1,1,1,1
"m02_migration","language_second",1,1,1,1,1
"m02_migration","language_third",1,1,1,1,1
"m02_migration","m00uuid",1,0,0,0,0
"m02_migration","mahalla",1,1,1,1,1
"m02_migration","marital_status",1,1,1,1,1
"m02_migration","province",1,1,1,1,1
"m02_migration","relationship",1,1,1,1,1
"m02_migration","sid",1,1,1,1,1
"m02_migration","uuid",1,1,1,1,0
"m03_education","age",1,1,1,1,1
"m03_education","agreement",1,1,1,1,1
"m03_education","date",1,1,1,1,1
"m03_education","edu_cost_equipment",1,1,1,1,1
"m03_education","edu_cost_gift",1,1,1,1,1
"m03_education","edu_cost_inkind",1,1,1,1,1
"m03_education","edu_cost_meal",1,1,1,1,1
"m03_education","edu_cost_other",1,1,1,1,1
"m03_education","edu_cost_service",1,1,1,1,1
"m03_education","edu_cost_supply",1,1,1,1,1
"m03_education","edu_cost_textbook",1,1,1,1,1
"m03_education","edu_cost_total",1,1,1,1,1
"m03_education","edu_cost_tuition",1,1,1,1,1
"m03_education","edu_cost_uniform",1,1,1,1,1
"m03_education","edu_enrolled",1,1,1,1,1
"m03_education","edu_highest",1,1,1,1,1
"m03_education","edu_last_grade",1,1,1,1,1
"m03_education","edu_public",1,1,1,1,1
"m03_education","edu_tutor",1,1,1,1,0
"m03_education","edu_tutor_fee",1,1,1,1,0
