wave_year,country,region,age,gender,urban,own_ed_level,parent_ed_level,own_years_schooling,parent_years_schooling,father_ed_level,mother_ed_level,father_years_schooling,mother_years_schooling,sample_weight,hh_income_proxy,migration_exposure,multigenerational_hh,cohort
2010,182,Jizzakh region,55,female,0,upper_secondary,NA,11,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Namangan region,38,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,lower_secondary,10,9,11876.6064453125,NA,NA,0,35-44
2010,182,Tashkent region,55,female,0,upper_secondary,no_formal,11,0,no_formal,no_formal,0,0,5185.65771484375,NA,NA,0,55-64
2010,182,Namangan region,26,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,0,25-34
2010,182,Navoi region,33,female,1,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,32,female,1,upper_secondary,tertiary,11,16,tertiary,upper_secondary,16,12,15867.6982421875,NA,NA,0,25-34
2010,182,Bukhara region,50,female,1,upper_secondary,upper_secondary,11,11,upper_secondary,lower_secondary,10,8,10240.12109375,NA,NA,0,45-54
2010,182,Tashkent city,43,female,NA,upper_secondary,tertiary,11,16,tertiary,upper_secondary,15,10,12208.046875,NA,NA,0,35-44
2010,182,Tashkent city,36,female,NA,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,9,9,12208.046875,NA,NA,0,35-44
2010,182,Tashkent city,25,female,NA,upper_secondary,no_formal,11,0,NA,no_formal,NA,0,15867.6982421875,NA,NA,1,25-34
2010,182,Samarkand region,49,female,1,tertiary,tertiary,16,16,tertiary,tertiary,15,15,10240.12109375,NA,NA,0,45-54
2010,182,Tashkent city,25,male,NA,tertiary,lower_secondary,16,9,lower_secondary,lower_secondary,8,9,16047.2294921875,NA,NA,0,25-34
2010,182,Khorezm region,29,female,0,lower_secondary,NA,9,NA,NA,NA,NA,NA,15867.6982421875,NA,NA,0,25-34
2010,182,Namangan region,42,male,0,upper_secondary,primary,11,6,primary,primary,4,6,11876.6064453125,NA,NA,1,35-44
2010,182,Bukhara region,44,female,0,tertiary,upper_secondary,16,11,upper_secondary,upper_secondary,10,10,12208.046875,NA,NA,0,35-44
2010,182,Namangan region,50,female,0,upper_secondary,primary,11,6,primary,primary,1,4,10240.12109375,NA,NA,0,45-54
2010,182,Khorezm region,62,female,0,lower_secondary,NA,9,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,1,55-64
2010,182,Tashkent city,50,male,NA,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,9542.7158203125,NA,NA,0,45-54
2010,182,Namangan region,48,female,0,tertiary,upper_secondary,16,11,upper_secondary,lower_secondary,10,7,10240.12109375,NA,NA,0,45-54
2010,182,Khorezm region,35,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,11876.6064453125,NA,NA,0,35-44
2010,182,Tashkent region,49,male,1,upper_secondary,tertiary,11,16,tertiary,lower_secondary,15,8,9542.7158203125,NA,NA,1,45-54
2010,182,Samarkand region,58,female,1,tertiary,tertiary,16,16,tertiary,upper_secondary,15,10,5185.65771484375,NA,NA,0,55-64
2010,182,Tashkent region,48,female,0,upper_secondary,NA,11,NA,NA,NA,NA,NA,10240.12109375,NA,NA,0,45-54
2010,182,Karakalpakstan republic,38,female,0,tertiary,tertiary,16,16,tertiary,post_secondary_non_tertiary,17,13,12208.046875,NA,NA,1,35-44
2010,182,Tashkent city,50,male,NA,lower_secondary,primary,9,6,primary,primary,3,3,9542.7158203125,NA,NA,0,45-54
2010,182,Samarkand region,33,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent city,27,male,NA,upper_secondary,NA,11,NA,NA,NA,NA,NA,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent city,31,female,NA,lower_secondary,tertiary,9,16,tertiary,upper_secondary,15,10,15867.6982421875,NA,NA,0,25-34
2010,182,Bukhara region,30,male,0,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent city,54,female,NA,tertiary,upper_secondary,16,11,upper_secondary,lower_secondary,10,8,10240.12109375,NA,NA,0,45-54
2010,182,Samarkand region,34,male,0,upper_secondary,tertiary,11,16,tertiary,upper_secondary,20,10,16047.2294921875,NA,NA,1,25-34
2010,182,Tashkent city,32,female,NA,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,8,8,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,39,male,0,upper_secondary,no_formal,11,0,NA,no_formal,NA,0,11876.6064453125,NA,NA,0,35-44
2010,182,Tashkent region,57,female,1,tertiary,tertiary,16,16,tertiary,no_formal,15,0,5185.65771484375,NA,NA,0,55-64
2010,182,Karakalpakstan republic,29,female,0,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,9,9,15867.6982421875,NA,NA,0,25-34
2010,182,Namangan region,61,female,0,upper_secondary,lower_secondary,11,9,lower_secondary,lower_secondary,7,7,5185.65771484375,NA,NA,1,55-64
2010,182,Jizzakh region,49,female,0,tertiary,NA,16,NA,NA,NA,NA,NA,10240.12109375,NA,NA,0,45-54
2010,182,Samarkand region,55,male,0,tertiary,upper_secondary,16,11,upper_secondary,upper_secondary,10,10,4571.1123046875,NA,NA,0,55-64
2010,182,Khorezm region,57,female,1,tertiary,tertiary,16,16,tertiary,upper_secondary,20,10,5185.65771484375,NA,NA,0,55-64
2010,182,Sirdarya region,30,male,1,upper_secondary,tertiary,11,16,lower_secondary,tertiary,8,16,16047.2294921875,NA,NA,0,25-34
2010,182,Karakalpakstan republic,37,female,0,upper_secondary,tertiary,11,16,tertiary,post_secondary_non_tertiary,15,13,12208.046875,NA,NA,0,35-44
2010,182,Khorezm region,43,male,0,upper_secondary,lower_secondary,11,9,NA,lower_secondary,NA,8,11876.6064453125,NA,NA,0,35-44
2010,182,Khorezm region,30,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,36,female,1,tertiary,tertiary,16,16,tertiary,tertiary,16,15,12208.046875,NA,NA,0,35-44
2010,182,Khorezm region,35,female,1,upper_secondary,post_secondary_non_tertiary,11,13,upper_secondary,post_secondary_non_tertiary,10,13,12208.046875,NA,NA,0,35-44
2010,182,Khorezm region,28,male,0,lower_secondary,upper_secondary,9,11,upper_secondary,NA,10,NA,16047.2294921875,NA,NA,0,25-34
2010,182,Samarkand region,27,female,0,upper_secondary,upper_secondary,11,11,upper_secondary,no_formal,10,0,15867.6982421875,NA,NA,0,25-34
2010,182,Bukhara region,38,female,1,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,8,7,12208.046875,NA,NA,0,35-44
2010,182,Sirdarya region,46,female,0,upper_secondary,tertiary,11,16,tertiary,lower_secondary,15,7,10240.12109375,NA,NA,0,45-54
2010,182,Samarkand region,44,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,11876.6064453125,NA,NA,0,35-44
2010,182,Namangan region,45,female,0,tertiary,upper_secondary,16,11,upper_secondary,no_formal,10,0,10240.12109375,NA,NA,0,45-54
2010,182,Samarkand region,36,male,0,tertiary,upper_secondary,16,11,upper_secondary,upper_secondary,10,10,11876.6064453125,NA,NA,0,35-44
2010,182,Samarkand region,26,male,0,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Bukhara region,29,male,1,upper_secondary,post_secondary_non_tertiary,11,13,post_secondary_non_tertiary,post_secondary_non_tertiary,14,14,16047.2294921875,NA,NA,0,25-34
2010,182,Samarkand region,46,female,0,upper_secondary,lower_secondary,11,9,NA,lower_secondary,NA,8,10240.12109375,NA,NA,1,45-54
2010,182,Samarkand region,28,NA,1,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,12,11,NA,NA,NA,1,25-34
2010,182,Tashkent region,30,male,1,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Namangan region,27,female,1,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,15867.6982421875,NA,NA,0,25-34
2010,182,Tashkent city,43,female,NA,tertiary,primary,16,6,no_formal,primary,0,3,12208.046875,NA,NA,0,35-44
2010,182,Jizzakh region,27,male,0,upper_secondary,NA,11,NA,NA,NA,NA,NA,16047.2294921875,NA,NA,1,25-34
2010,182,Karakalpakstan republic,37,female,0,lower_secondary,upper_secondary,9,11,lower_secondary,upper_secondary,8,10,12208.046875,NA,NA,0,35-44
2010,182,Tashkent city,29,female,NA,upper_secondary,NA,11,NA,NA,NA,NA,NA,15867.6982421875,NA,NA,0,25-34
2010,182,Samarkand region,56,female,1,upper_secondary,lower_secondary,11,9,NA,lower_secondary,NA,7,5185.65771484375,NA,NA,0,55-64
2010,182,Namangan region,45,female,0,upper_secondary,lower_secondary,11,9,lower_secondary,lower_secondary,7,7,10240.12109375,NA,NA,0,45-54
2010,182,Namangan region,45,female,1,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,10240.12109375,NA,NA,0,45-54
2010,182,Tashkent city,35,female,NA,lower_secondary,lower_secondary,9,9,NA,lower_secondary,NA,8,12208.046875,NA,NA,0,35-44
2010,182,Namangan region,30,male,0,tertiary,upper_secondary,16,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Tashkent city,40,female,NA,tertiary,lower_secondary,16,9,lower_secondary,lower_secondary,8,8,12208.046875,NA,NA,0,35-44
2010,182,Bukhara region,35,female,0,tertiary,tertiary,16,16,lower_secondary,tertiary,8,15,12208.046875,NA,NA,0,35-44
2010,182,Karakalpakstan republic,57,female,0,upper_secondary,NA,11,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Samarkand region,53,female,1,upper_secondary,upper_secondary,11,11,upper_secondary,lower_secondary,11,8,10240.12109375,NA,NA,0,45-54
2010,182,Namangan region,27,female,0,upper_secondary,upper_secondary,11,11,lower_secondary,upper_secondary,8,10,15867.6982421875,NA,NA,1,25-34
2010,182,Tashkent region,42,female,0,tertiary,lower_secondary,16,9,lower_secondary,lower_secondary,8,8,12208.046875,NA,NA,0,35-44
2010,182,Karakalpakstan republic,54,male,0,tertiary,tertiary,16,16,tertiary,upper_secondary,15,10,9542.7158203125,NA,NA,0,45-54
2010,182,Namangan region,30,female,1,upper_secondary,post_secondary_non_tertiary,11,13,post_secondary_non_tertiary,upper_secondary,14,10,15867.6982421875,NA,NA,1,25-34
2010,182,Karakalpakstan republic,55,female,1,upper_secondary,NA,11,NA,NA,NA,NA,NA,5185.65771484375,NA,NA,0,55-64
2010,182,Karakalpakstan republic,40,female,0,primary,NA,6,NA,NA,NA,NA,NA,12208.046875,NA,NA,0,35-44
2010,182,Bukhara region,50,male,0,lower_secondary,upper_secondary,9,11,upper_secondary,upper_secondary,10,10,9542.7158203125,NA,NA,0,45-54
2010,182,Jizzakh region,33,female,0,lower_secondary,lower_secondary,9,9,lower_secondary,lower_secondary,7,8,15867.6982421875,NA,NA,0,25-34
2010,182,Jizzakh region,46,female,1,tertiary,NA,16,NA,NA,NA,NA,NA,10240.12109375,NA,NA,0,45-54
2010,182,Tashkent region,29,male,1,upper_secondary,upper_secondary,11,11,upper_secondary,upper_secondary,10,10,16047.2294921875,NA,NA,0,25-34
2010,182,Karakalpakstan republic,29,female,0,upper_secondary,post_secondary_non_tertiary,11,13,post_secondary_non_tertiary,post_secondary_non_tertiary,14,14,15867.6982421875,NA,NA,0,25-34
2010,182,Bukhara region,32,male,1,upper_secondary,upper_secondary,11,11,primary,upper_secondary,4,10,16047.2294921875,NA,NA,1,25-34
