"admin_region","academic_year_start_for_merge","admissions_bachelor_per_1000_youth_20_24","hei_count_per_1000_youth_20_24","students_total_per_1000_youth_20_24","expansion_index_main","high_expansion_region"
"Andijan region",2020,28.3535894919604,0.0226466369744093,116.611308220729,-0.91825083948183,0
"Andijan region",2021,38.8566704356178,0.032421085052664,193.112140480562,-0.701900648984713,0
"Andijan region",2022,48.6501927078004,0.0426344691155906,248.610116306832,-0.773508249408677,0
"Andijan region",2023,64.6784895222423,0.0437667407783477,289.74020062674,-0.783015856159098,0
"Andijan region",2024,53.3508362945024,0.0452662788855442,288.771699522441,-0.871439035036313,0
"Bukhara region",2020,72.1987170738365,0.0324955968466273,231.531127532219,-0.0323247281607104,1
"Bukhara region",2021,79.306597034718,0.0410135823313487,300.486010950627,-0.25214812414764,1
"Bukhara region",2022,115.093330330246,0.0774233508826262,404.600354739717,0.0730498447867183,1
"Bukhara region",2023,175.590291707261,0.0931285460484842,594.238924866755,0.276433675184993,1
"Bukhara region",2024,213.636231589344,0.0944136188013828,718.821718037359,0.469254578471626,1
"Fergana region",2020,42.9028655097003,0.0312862725222054,151.472488416258,-0.543012164713027,1
"Fergana region",2021,43.6134352211225,0.0369320852526826,209.277339815474,-0.608540957837308,0
"Fergana region",2022,57.6673373000585,0.0392391878201561,277.249832341652,-0.739683777263993,0
"Fergana region",2023,63.2545271629779,0.0480826133270209,314.001657000829,-0.753648493343701,0
"Fergana region",2024,75.8177017353745,0.049603931683939,324.859964285169,-0.705056869768148,0
"Jizzakh region",2020,64.4314892055922,0.0239255437079808,186.547464291126,-0.292520847186694,1
"Jizzakh region",2021,75.8766095228533,0.0334663621227714,250.621219346904,-0.369116279274173,1
"Jizzakh region",2022,73.8434241082689,0.0434884712062832,321.388499908674,-0.575733196660619,0
"Jizzakh region",2023,60.6886721012072,0.0445454140496236,334.696423003252,-0.798952030201014,0
"Jizzakh region",2024,54.4080785575031,0.0449208046214524,324.669607482009,-0.868249683955488,0
"Kashkadarya region",2020,24.8473605651531,0.0197698134718099,91.7154596646381,-1.0207026786762,0
"Kashkadarya region",2021,35.6683384587865,0.0206394088873295,152.119323302581,-0.865730546320711,0
"Kashkadarya region",2022,51.1734852258535,0.0324865180949906,207.28564312477,-0.855906116555085,0
"Kashkadarya region",2023,70.3351200463259,0.0408320836241073,291.010259989012,-0.776314845608704,0
"Kashkadarya region",2024,102.508627853181,0.0411741366532164,308.963235239072,-0.622073970828069,1
"Khorezm region",2020,42.0750007898145,0.0189555492370391,143.980033488137,-0.743465675447984,0
"Khorezm region",2021,45.0232845742111,0.0386465962010396,185.123636902346,-0.576505866639151,0
"Khorezm region",2022,65.5832620567143,0.0526350417790644,281.400092111323,-0.546430617122136,1
"Khorezm region",2023,104.141090918849,0.0536671429625605,361.870836603675,-0.472583735315731,1
"Khorezm region",2024,107.755555405048,0.0541825545719917,410.202575025906,-0.481939682554717,1
"Namangan region",2020,29.4808714090399,0.0122802852300916,106.384110948284,-1.05612603976711,0
"Namangan region",2021,40.5004361720315,0.0131509155229023,183.363215135827,-0.910446192680858,0
"Namangan region",2022,61.2271570938455,0.028006628235349,244.213130440871,-0.82512797571302,0
"Namangan region",2023,82.7193873415066,0.0429166130209004,298.165553218984,-0.687770327406024,0
"Namangan region",2024,74.5584683872094,0.038794650217735,261.354709185603,-0.803592554773251,0
"Navoi region",2020,67.0309286155943,0.025237548424546,214.708443221825,-0.228982526021738,1
"Navoi region",2021,71.8325716934896,0.0264918206503742,287.568713159812,-0.484783062036138,1
"Navoi region",2022,130.122343140095,0.0551716528047889,417.842512517069,-0.0362936309276342,1
"Navoi region",2023,120.398945124004,0.0561104253170239,544.453484457412,-0.358889830440468,1
"Navoi region",2024,124.288840262582,0.0564692595468342,607.736288557916,-0.367143596980754,1
"Republic of Karakalpakstan",2020,69.976708370986,0.0572744975753796,225.833343939722,0.305183689661509,1
"Republic of Karakalpakstan",2021,62.0014366186534,0.0630095900596071,293.53017529268,-0.14776174146617,1
"Republic of Karakalpakstan",2022,73.56920406392,0.063817838362179,366.971715934038,-0.374754326305028,1
"Republic of Karakalpakstan",2023,97.2826932047893,0.0777484061576738,415.604105115845,-0.302540001538958,1
"Republic of Karakalpakstan",2024,116.902015034454,0.0783044476926289,482.153111296722,-0.225452125516087,1
"Samarkand region",2020,51.5481559903122,0.0348063173465984,159.027163430163,-0.344454416352699,1
"Samarkand region",2021,56.3350888176874,0.042966400274985,217.201291447231,-0.428571018092968,1
"Samarkand region",2022,65.6899598393574,0.0481927710843373,272.253815261044,-0.589996130349208,0
"Samarkand region",2023,63.2773307072777,0.0497359023584765,300.365061523311,-0.739166000919447,0
"Samarkand region",2024,66.6937522270658,0.0466226859329366,301.938504677254,-0.782923715169272,0
"Surkhandarya region",2020,38.4847363849841,0.02814681378068,103.049506224467,-0.66476399651298,0
