model_sample,subgroup_type,wave_year,subgroup_value,included,n,weight_sum,share_within_status,weighted_share_within_status
rank_model_included,gender_group,2010,female,FALSE,143,1649412.0654296875,0.680952380952381,0.7094674007744076
rank_model_included,gender_group,2010,female,TRUE,544,6600852.179199219,0.5958378970427163,0.5948407971399116
rank_model_included,gender_group,2010,male,FALSE,67,675447.4892578125,0.319047619047619,0.2905325992255923
rank_model_included,gender_group,2010,male,TRUE,369,4495986.1865234375,0.40416210295728366,0.4051592028600884
rank_model_included,gender_group,2016,female,FALSE,35,470887.32,0.6481481481481481,0.6973816383459748
rank_model_included,gender_group,2016,female,TRUE,643,8862299.68,0.5426160337552742,0.5916695435530782
rank_model_included,gender_group,2016,male,FALSE,19,204334.53,0.35185185185185186,0.3026183616540253
rank_model_included,gender_group,2016,male,TRUE,542,6116162.16,0.4573839662447257,0.4083304564469218
rank_model_included,gender_group,2022,female,FALSE,12,126442.53700030099,0.8,0.8866739224948877
rank_model_included,gender_group,2022,female,TRUE,516,9046900.783368753,0.6649484536082474,0.5152455718627447
rank_model_included,gender_group,2022,male,FALSE,3,16160.661077885448,0.2,0.11332607750511238
rank_model_included,gender_group,2022,male,TRUE,260,8511524.319950212,0.33505154639175255,0.4847544281372552
rank_model_included,cohort,2010,25-34,FALSE,61,938887.1650390625,0.28773584905660377,0.40384683158431245
rank_model_included,cohort,2010,25-34,TRUE,316,5038249.83203125,0.34611171960569553,0.4540257022751674
rank_model_included,cohort,2010,35-44,FALSE,47,569800.91796875,0.22169811320754718,0.24509046872095497
rank_model_included,cohort,2010,35-44,TRUE,293,3536190.5615234375,0.3209200438116101,0.31866649265131936
rank_model_included,cohort,2010,45-54,FALSE,60,599064.349609375,0.2830188679245283,0.2576776512807025
rank_model_included,cohort,2010,45-54,TRUE,202,2016199.0654296875,0.2212486308871851,0.18169130692734814
rank_model_included,cohort,2010,55-64,FALSE,44,217107.1220703125,0.20754716981132076,0.09338504841403003
rank_model_included,cohort,2010,55-64,TRUE,102,506198.90673828125,0.11171960569550932,0.04561649814616509
rank_model_included,cohort,2016,25-34,FALSE,3,72177.81,0.05555555555555555,0.1068949560799906
rank_model_included,cohort,2016,25-34,TRUE,314,4978497.46,0.2649789029535865,0.33237708338682126
rank_model_included,cohort,2016,35-44,FALSE,9,91018.81,0.16666666666666666,0.13479837774799497
rank_model_included,cohort,2016,35-44,TRUE,321,3623615.07,0.2708860759493671,0.2419217078968103
rank_model_included,cohort,2016,45-54,FALSE,20,288161.63,0.37037037037037035,0.4267658548075718
rank_model_included,cohort,2016,45-54,TRUE,284,3729170.05,0.23966244725738398,0.2489688253597073
rank_model_included,cohort,2016,55-64,FALSE,22,223863.6,0.4074074074074074,0.3315408113644427
rank_model_included,cohort,2016,55-64,TRUE,266,2647179.26,0.22447257383966246,0.17673238335666114
rank_model_included,cohort,2022,25-34,FALSE,9,87751.3730106249,0.6,0.6153534716838018
rank_model_included,cohort,2022,25-34,TRUE,250,5829456.985728193,0.32216494845360827,0.33200340870128975
rank_model_included,cohort,2022,35-44,FALSE,2,15003.08374446346,0.13333333333333333,0.10520860644540084
rank_model_included,cohort,2022,35-44,TRUE,228,5060696.328105773,0.29381443298969073,0.28822040122204234
rank_model_included,cohort,2022,45-54,FALSE,1,3388.083717230537,0.06666666666666667,0.023758820018699153
rank_model_included,cohort,2022,45-54,TRUE,185,4356701.805792812,0.23840206185567012,0.24812600105970156
rank_model_included,cohort,2022,55-64,FALSE,3,36460.65760586755,0.2,0.2556791018520981
rank_model_included,cohort,2022,55-64,TRUE,113,2311569.983692187,0.14561855670103094,0.13165018901696623
rank_model_included,urban_group,2010,rural,FALSE,118,1285000.501953125,0.6178010471204188,0.61726376378011
rank_model_included,urban_group,2010,rural,TRUE,526,6537374.559082031,0.6743589743589744,0.6828985936551446
rank_model_included,urban_group,2010,urban,FALSE,73,796768.390625,0.38219895287958117,0.38273623621988995
