module,model,model_family,specification,outcome,estimator,family,link,weighted,fixed_effects,parameter_scale,interaction_structure,formula,n_used
module_b,eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,own rank,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,rank outcome / rank coefficient,parent_rank x wave,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") | region + cohort + wave_year_fe",2874
module_b,eq3_attainment_score_minimal,eq3_attainment_score,minimal,own education score,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,education-score points,no parent-by-wave interaction,own_ed_score ~ parent_ed_score | region + cohort + wave_year_fe,2874
module_b,eq4_upward_full_lpm_minimal,eq4_upward_full_lpm,minimal,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") | region + cohort + wave_year_fe",2874
module_b,eq4_upward_lowparent_lpm_minimal,eq4_upward_lowparent_lpm,minimal,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") | region + cohort + wave_year_fe",1648
module_b,eq5_persistence_heterogeneity_minimal,eq5_persistence_heterogeneity,minimal,same-category persistence indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,parent_ed_score x urban + female + wave2022,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 | region + cohort + wave_year_fe,2741
module_b,eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,own rank,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,rank outcome / rank coefficient,parent_rank x wave,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") + urban + female | region + cohort + wave_year_fe",2741
module_b,eq3_attainment_score_demographic,eq3_attainment_score,demographic,own education score,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,education-score points,no parent-by-wave interaction,own_ed_score ~ parent_ed_score + urban + female | region + cohort + wave_year_fe,2741
module_b,eq4_upward_full_lpm_demographic,eq4_upward_full_lpm,demographic,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female | region + cohort + wave_year_fe",2741
module_b,eq4_upward_lowparent_lpm_demographic,eq4_upward_lowparent_lpm,demographic,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female | region + cohort + wave_year_fe",1547
module_b,eq5_persistence_heterogeneity_demographic,eq5_persistence_heterogeneity,demographic,same-category persistence indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,parent_ed_score x urban + female + wave2022,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 | region + cohort + wave_year_fe,2741
module_b,eq2_persistence_trend_extended,eq2_persistence_trend,extended,own rank,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,rank outcome / rank coefficient,parent_rank x wave,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",2741
module_b,eq3_attainment_score_extended,eq3_attainment_score,extended,own education score,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,education-score points,no parent-by-wave interaction,own_ed_score ~ parent_ed_score + urban + female + multigenerational_hh | region + cohort + wave_year_fe,2741
module_b,eq4_upward_full_lpm_extended,eq4_upward_full_lpm,extended,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",2741
module_b,eq4_upward_lowparent_lpm_extended,eq4_upward_lowparent_lpm,extended,upward mobility indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,no parent-by-wave interaction,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",1547
module_b,eq5_persistence_heterogeneity_extended,eq5_persistence_heterogeneity,extended,same-category persistence indicator,fixest::feols,gaussian,identity,TRUE,region + cohort + wave_year_fe,linear-probability coefficient,parent_ed_score x urban + female + wave2022,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 + multigenerational_hh | region + cohort + wave_year_fe,2741
module_c,m1_switched_online,NA,NA,switched_online,fixest::feglm,binomial,logit,TRUE,region,log-odds coefficient,parent_low_edu x urban,switched_online ~ parent_low_edu + urban + parent_low_edu:urban | region,183
module_c,m2_school_closed_no_online,NA,NA,school_closed_no_online,fixest::feglm,binomial,logit,TRUE,region,log-odds coefficient,parent_low_edu x urban,school_closed_no_online ~ parent_low_edu + urban + parent_low_edu:urban | region,183
module_c,m3_education_stopped_covid,NA,NA,education_stopped_covid,fixest::feglm,binomial,logit,TRUE,region,log-odds coefficient,parent_low_edu x urban,education_stopped_covid ~ parent_low_edu + urban + parent_low_edu:urban | region,183
module_c,m4_any_remote_challenge,NA,NA,any_remote_challenge,fixest::feglm,binomial,logit,TRUE,region,log-odds coefficient,parent_low_edu x urban,any_remote_challenge ~ parent_low_edu + urban + parent_low_edu:urban | region,173
