module_c_row_id,wave_year,region,urban,weight_valid,child_module_eligibility_observed,child_enrolled_pre_covid,mechanism_sample_eligible,parent_schooling_observed,mechanism_parent_non_missing,parent_years_schooling,parent_low_edu,m1_switched_online_included,m2_school_closed_no_online_included,m3_education_stopped_covid_included,m4_any_remote_challenge_included
1,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
2,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
3,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
4,2022,Bukhara region,0,TRUE,FALSE,NA,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
5,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
6,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
7,2022,Bukhara region,0,TRUE,FALSE,NA,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
8,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13.5,1,FALSE,FALSE,FALSE,FALSE
9,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,5.5,1,FALSE,FALSE,FALSE,FALSE
10,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
11,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
12,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
13,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
14,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,13.5,1,FALSE,FALSE,FALSE,FALSE
15,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
16,2022,Bukhara region,0,TRUE,FALSE,NA,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
17,2022,Bukhara region,0,TRUE,FALSE,NA,FALSE,TRUE,FALSE,13.5,1,FALSE,FALSE,FALSE,FALSE
18,2022,Bukhara region,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.5,1,TRUE,TRUE,TRUE,TRUE
19,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
20,2022,Bukhara region,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,0,TRUE,TRUE,TRUE,TRUE
21,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
22,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,11,1,FALSE,FALSE,FALSE,FALSE
23,2022,Bukhara region,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,16,0,FALSE,FALSE,FALSE,FALSE
