parent_measure_variant,subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
baseline_max,overall,all,2010,rank_rank_slope,0.13426206567717336,0.02965255548290135,0.07606680779389256,0.19245732356045414,845.2453092727199,913,ok
baseline_max,overall,all,2016,rank_rank_slope,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok
baseline_max,overall,all,2022,rank_rank_slope,0.25246377806001996,0.029241650402670294,0.19506143429750095,0.309866121822539,399.05448625299556,776,ok
baseline_max,overall,all,2010,upward_mobility_rate,0.3114527557539208,0.01592837884505606,0.2802337068855012,0.34267180462234037,845.2453092727199,913,ok
baseline_max,overall,all,2010,downward_mobility_rate,0.2587146062104319,0.015063011614271243,0.22919164594775174,0.28823756647311205,845.2453092727199,913,ok
baseline_max,overall,all,2010,persistence_probability,0.42983263803564725,0.017027837096258637,0.3964586905923652,0.4632065854789293,845.2453092727199,913,ok
baseline_max,overall,all,2016,upward_mobility_rate,0.25572961435671687,0.014770229568629016,0.22678049635881542,0.2846787323546183,872.4434202520358,1185,ok
baseline_max,overall,all,2016,downward_mobility_rate,0.18159661312726622,0.013051755977273463,0.15601564147680486,0.20717758477772757,872.4434202520358,1185,ok
baseline_max,overall,all,2016,persistence_probability,0.5626737725160169,0.016794321475605594,0.5297575072790424,0.5955900377529915,872.4434202520358,1185,ok
baseline_max,overall,all,2022,upward_mobility_rate,0.2460699036858465,0.021561486111608484,0.20381016745393332,0.2883296399177597,399.05448625299556,776,ok
baseline_max,overall,all,2022,downward_mobility_rate,0.0812244677676589,0.013675148429826154,0.054421669361960176,0.10802726617335763,399.05448625299556,776,ok
baseline_max,overall,all,2022,persistence_probability,0.6727056285464945,0.02348906340914194,0.6266679102339987,0.7187433468589903,399.05448625299556,776,ok
mean_parent_years,overall,all,2010,rank_rank_slope,0.11354024418195977,0.028242250562652296,0.05811281042686514,0.1689676779370544,845.2453092727199,913,ok
mean_parent_years,overall,all,2016,rank_rank_slope,0.2887626361420207,0.02538576936904035,0.23895648510960235,0.33856878717443906,872.4434202520358,1185,ok
mean_parent_years,overall,all,2022,rank_rank_slope,0.2446284860915439,0.02616071485498056,0.19327412248689246,0.2959828496961953,399.05448625299556,776,ok
mean_parent_years,overall,all,2010,upward_mobility_rate,0.4336358314733318,0.017045866412821273,0.40022654721892115,0.46704511572774243,845.2453092727199,913,ok
mean_parent_years,overall,all,2010,downward_mobility_rate,0.16094051736677153,0.012639726794962808,0.13616710807421856,0.1857139266593245,845.2453092727199,913,ok
mean_parent_years,overall,all,2010,persistence_probability,0.40542365115989665,0.016887562544449633,0.3723246367861078,0.4385226655336855,845.2453092727199,913,ok
mean_parent_years,overall,all,2016,upward_mobility_rate,0.39971848871766397,0.016583873111288644,0.367214694695356,0.43222228273997193,872.4434202520358,1185,ok
mean_parent_years,overall,all,2016,downward_mobility_rate,0.15907263946402656,0.01238250036094562,0.13480338471801892,0.1833418942100342,872.4434202520358,1185,ok
mean_parent_years,overall,all,2016,persistence_probability,0.4412088718183095,0.016810407204456583,0.40826107913212195,0.474156664504497,872.4434202520358,1185,ok
mean_parent_years,overall,all,2022,upward_mobility_rate,0.401807585260624,0.02454219585423336,0.35370576528479836,0.4499094052364496,399.05448625299556,776,ok
mean_parent_years,overall,all,2022,downward_mobility_rate,0.07971642139380301,0.013558718201190853,0.05314182204294124,0.10629102074466479,399.05448625299556,776,ok
mean_parent_years,overall,all,2022,persistence_probability,0.5184759933455729,0.02501250562827594,0.4694523831510467,0.5674996035400992,399.05448625299556,776,ok
father_only,overall,all,2010,rank_rank_slope,0.11463448562291528,0.029449489620816217,0.056834503834307513,0.17243446741152305,811.2028957637972,876,ok
father_only,overall,all,2016,rank_rank_slope,0.2889646209141555,0.027367105377241237,0.23526897093858534,0.3426602708897256,841.0600822382717,1140,ok
father_only,overall,all,2022,rank_rank_slope,0.25274859071487005,0.02835763619938231,0.19708114368243668,0.3084160377473034,396.4079355773198,772,ok
father_only,overall,all,2010,upward_mobility_rate,0.35451328591350534,0.01679558617412971,0.3215945419129722,0.38743202991403847,811.2028957637972,876,ok
father_only,overall,all,2010,downward_mobility_rate,0.22900720845510472,0.01475315784784278,0.20009155041509843,0.25792286649511104,811.2028957637972,876,ok
father_only,overall,all,2010,persistence_probability,0.41647950563138997,0.01730852773954658,0.3825554146364662,0.45040359662631374,811.2028957637972,876,ok
father_only,overall,all,2016,upward_mobility_rate,0.2767884704552813,0.015427414840255588,0.2465512929938216,0.30702564791674103,841.0600822382717,1140,ok
father_only,overall,all,2016,downward_mobility_rate,0.16570897485753486,0.012820893437230918,0.14058048547093632,0.1908374642441334,841.0600822382717,1140,ok
father_only,overall,all,2016,persistence_probability,0.5575025546871838,0.01712636928160352,0.5239354877093078,0.5910696216650598,841.0600822382717,1140,ok
father_only,overall,all,2022,upward_mobility_rate,0.3075551588077785,0.023178372072268263,0.2621263843258637,0.3529839332896933,396.4079355773198,772,ok
father_only,overall,all,2022,downward_mobility_rate,0.0631180913060322,0.01221372634226304,0.03917962755816852,0.08705655505389588,396.4079355773198,772,ok
father_only,overall,all,2022,persistence_probability,0.6293267498861893,0.024258422128479014,0.581781116192601,0.6768723835797776,396.4079355773198,772,ok
mother_only,overall,all,2010,rank_rank_slope,0.11179850814529216,0.029700262624901063,0.0535070718895508,0.17008994440103353,817.9178027988822,884,ok
mother_only,overall,all,2016,rank_rank_slope,0.22873600556374135,0.027254191896150436,0.17526326470741016,0.28220874642007254,861.7598602165544,1168,ok
mother_only,overall,all,2022,rank_rank_slope,0.21372064619229578,0.028187486159690585,0.15838755020484152,0.26905374217975003,398.05869417827125,775,ok
mother_only,overall,all,2010,upward_mobility_rate,0.39955615388414817,0.017126565525449503,0.36598870227540187,0.43312360549289447,817.9178027988822,884,ok
mother_only,overall,all,2010,downward_mobility_rate,0.1698568802584568,0.013129954690936403,0.14412264194557872,0.19559111857133488,817.9178027988822,884,ok
mother_only,overall,all,2010,persistence_probability,0.43058696585739503,0.017313676999773025,0.3966527824978804,0.4645211492169097,817.9178027988822,884,ok
mother_only,overall,all,2016,upward_mobility_rate,0.4209836988688758,0.016818408798286884,0.38802022334696196,0.4539471743907897,861.7598602165544,1168,ok
mother_only,overall,all,2016,downward_mobility_rate,0.09985342152468689,0.010212803178743663,0.07983669511315314,0.11987014793622064,861.7598602165544,1168,ok
mother_only,overall,all,2016,persistence_probability,0.47916287960643733,0.01701764332639222,0.44580891158496017,0.5125168476279145,861.7598602165544,1168,ok
mother_only,overall,all,2022,upward_mobility_rate,0.35672545951097223,0.024009973330667445,0.3096667765130968,0.40378414250884764,398.05869417827125,775,ok
mother_only,overall,all,2022,downward_mobility_rate,0.05784764278761159,0.011701185003968656,0.03491374160339286,0.08078154397183032,398.05869417827125,775,ok
mother_only,overall,all,2022,persistence_probability,0.5854268977014161,0.02469240206440429,0.5370306789634012,0.633823116439431,398.05869417827125,775,ok
both_parents_observed_only,overall,all,2010,rank_rank_slope,0.13606133770658527,0.031021126065146398,0.07517383572426412,0.19694883968890642,783.8763232624221,847,ok
both_parents_observed_only,overall,all,2016,rank_rank_slope,0.29710449903822334,0.027826970873007617,0.24250568806698436,0.3517033100094623,830.410487559564,1123,ok
both_parents_observed_only,overall,all,2022,rank_rank_slope,0.24552194319704035,0.029390710848945473,0.18782640125010008,0.3032174851439806,395.4123268234123,771,ok
both_parents_observed_only,overall,all,2010,upward_mobility_rate,0.29618210420459756,0.016307439888000444,0.2642201093440648,0.3281440990651303,783.8763232624221,847,ok
both_parents_observed_only,overall,all,2010,downward_mobility_rate,0.2683914755897529,0.01582704962573552,0.23737102834178314,0.29941192283772267,783.8763232624221,847,ok
both_parents_observed_only,overall,all,2010,persistence_probability,0.4354264202056496,0.017708993984405553,0.4007174297937782,0.47013541061752095,783.8763232624221,847,ok
both_parents_observed_only,overall,all,2016,upward_mobility_rate,0.2443901173103335,0.014912285917972288,0.215162573983944,0.273617660636723,830.410487559564,1123,ok
both_parents_observed_only,overall,all,2016,downward_mobility_rate,0.18408422657602258,0.013448831130399323,0.1577250019262788,0.21044345122576635,830.410487559564,1123,ok
both_parents_observed_only,overall,all,2016,persistence_probability,0.5715256561136438,0.01717251340094797,0.5378681483237544,0.6051831639035332,830.410487559564,1123,ok
both_parents_observed_only,overall,all,2022,upward_mobility_rate,0.2436762461274286,0.021589141162470758,0.20136230699183474,0.2859901852630225,395.4123268234123,771,ok
both_parents_observed_only,overall,all,2022,downward_mobility_rate,0.08183746250141767,0.01378512662839304,0.054819110787443254,0.10885581421539209,395.4123268234123,771,ok
both_parents_observed_only,overall,all,2022,persistence_probability,0.6744862913711537,0.02356384205721655,0.6283020096016191,0.7206705731406883,395.4123268234123,771,ok
