statistic,statistic_label,difference_missing_minus_observed,wave_year,n_observed_parent_education,n_missing_parent_education,estimate_observed_parent_education,estimate_missing_parent_education
female_share,Female share,0.11462660363449606,2010,915,210,0.5948407971399116,0.7094674007744076
mean_age,Mean age,2.3206260881260192,2010,915,210,37.48767953363192,39.80830562175794
mean_own_years,Mean own years of schooling,-0.33892460579312456,2010,915,210,11.399041866723904,11.06011726093078
tertiary_share,Tertiary attainment share,-0.015491689705977862,2010,915,210,0.16025604409542296,0.1447643543894451
urban_share,Urban share,0.06563482987503455,2010,915,210,0.3171014063448554,0.38273623621988995
female_share,Female share,0.10571209479289656,2016,1185,54,0.5916695435530782,0.6973816383459748
mean_age,Mean age,7.529021366612959,2016,1185,54,41.952419348020314,49.48144071463327
mean_own_years,Mean own years of schooling,-1.4390504019385197,2016,1185,54,13.17884863269779,11.73979823075927
tertiary_share,Tertiary attainment share,-0.22462136527762586,2016,1185,54,0.4689132672650986,0.24429190198747272
urban_share,Urban share,-0.11036641349259863,2016,1185,54,0.5152387676677487,0.40487235417515005
female_share,Female share,0.3714283506321431,2022,776,15,0.5152455718627447,0.8866739224948877
mean_age,Mean age,-3.879350915155733,2022,776,15,40.75508618274073,36.875735267585
mean_own_years,Mean own years of schooling,-0.5374555132061865,2022,776,15,14.865817041776705,14.328361528570518
tertiary_share,Tertiary attainment share,-0.1124762415548779,2022,776,15,0.7781485472689813,0.6656723057141034
urban_share,Urban share,0.0058159381733727256,2022,776,15,0.36776810092892004,0.37358403910229276
