scenario_id,scenario_label,scenario_note,subgroup_type,subgroup_value,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status,n_parent_missing
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2010,rank_rank_slope,0.13426206567717336,0.02965255548290135,0.07606680779389256,0.19245732356045414,845.2453092727199,913,ok,210
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2016,rank_rank_slope,0.306630688646319,0.0268646728732513,0.25392297137723047,0.3593384059154075,872.4434202520358,1185,ok,54
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2022,rank_rank_slope,0.25246377806001996,0.029241650402670294,0.19506143429750095,0.309866121822539,399.05448625299556,776,ok,15
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2010,upward_mobility_rate,0.3114527557539208,0.01592837884505606,0.2802337068855012,0.34267180462234037,845.2453092727199,913,ok,210
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2010,downward_mobility_rate,0.2587146062104319,0.015063011614271243,0.22919164594775174,0.28823756647311205,845.2453092727199,913,ok,210
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2010,persistence_probability,0.42983263803564725,0.017027837096258637,0.3964586905923652,0.4632065854789293,845.2453092727199,913,ok,210
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2016,upward_mobility_rate,0.25572961435671687,0.014770229568629016,0.22678049635881542,0.2846787323546183,872.4434202520358,1185,ok,54
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2016,downward_mobility_rate,0.18159661312726622,0.013051755977273463,0.15601564147680486,0.20717758477772757,872.4434202520358,1185,ok,54
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2016,persistence_probability,0.5626737725160169,0.016794321475605594,0.5297575072790424,0.5955900377529915,872.4434202520358,1185,ok,54
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2022,upward_mobility_rate,0.2460699036858465,0.021561486111608484,0.20381016745393332,0.2883296399177597,399.05448625299556,776,ok,15
observed_only,Observed-parent sample only,Uses the observed parental-education data without filling missing parent values.,overall,all,2022,downward_mobility_rate,0.0812244677676589,0.013675148429826154,0.054421669361960176,0.10802726617335763,399.05448625299556,776,ok,15
