wave_year,parent_ed_level,metric,estimate,n,status
2010,lower_secondary,persistence_probability,0.25647651631254237,231,ok
2010,no_formal,persistence_probability,NA,27,small_n
2010,post_secondary_non_tertiary,persistence_probability,0,69,ok
2010,primary,persistence_probability,0.027609469515070637,47,ok
2010,tertiary,persistence_probability,0.30260774115797134,127,ok
2010,upper_secondary,persistence_probability,0.6856800065631898,412,ok
2016,lower_secondary,persistence_probability,0.17123907464372057,187,ok
2016,no_formal,persistence_probability,NA,1,small_n
2016,primary,persistence_probability,0,39,ok
2016,tertiary,persistence_probability,0.6571473548694239,530,ok
2016,upper_secondary,persistence_probability,0.6424305226825465,428,ok
2022,lower_secondary,persistence_probability,NA,6,small_n
2022,no_formal,persistence_probability,NA,5,small_n
2022,primary,persistence_probability,NA,2,small_n
2022,tertiary,persistence_probability,0.8725554344783948,500,ok
2022,upper_secondary,persistence_probability,0.36393110947618756,263,ok
