model,model_family,specification,specification_label,control_terms,formula,n_used
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") | region + cohort + wave_year_fe",2874
eq3_attainment_score_minimal,eq3_attainment_score,minimal,Minimal parental association + fixed effects,,own_ed_score ~ parent_ed_score | region + cohort + wave_year_fe,2874
eq4_upward_full_lpm_minimal,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") | region + cohort + wave_year_fe",2874
eq4_upward_lowparent_lpm_minimal,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") | region + cohort + wave_year_fe",1648
eq5_persistence_heterogeneity_minimal,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 | region + cohort + wave_year_fe,2741
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,urban + female,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") + urban + female | region + cohort + wave_year_fe",2741
eq3_attainment_score_demographic,eq3_attainment_score,demographic,Add standard demographics,urban + female,own_ed_score ~ parent_ed_score + urban + female | region + cohort + wave_year_fe,2741
eq4_upward_full_lpm_demographic,eq4_upward_full_lpm,demographic,Add standard demographics,urban + female,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female | region + cohort + wave_year_fe",2741
eq4_upward_lowparent_lpm_demographic,eq4_upward_lowparent_lpm,demographic,Add standard demographics,urban + female,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female | region + cohort + wave_year_fe",1547
eq5_persistence_heterogeneity_demographic,eq5_persistence_heterogeneity,demographic,Add standard demographics,urban + female,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 | region + cohort + wave_year_fe,2741
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,urban + female + multigenerational_hh,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",2741
eq3_attainment_score_extended,eq3_attainment_score,extended,Add potentially endogenous household controls,urban + female + multigenerational_hh,own_ed_score ~ parent_ed_score + urban + female + multigenerational_hh | region + cohort + wave_year_fe,2741
eq4_upward_full_lpm_extended,eq4_upward_full_lpm,extended,Add potentially endogenous household controls,urban + female + multigenerational_hh,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",2741
eq4_upward_lowparent_lpm_extended,eq4_upward_lowparent_lpm,extended,Add potentially endogenous household controls,urban + female + multigenerational_hh,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + multigenerational_hh | region + cohort + wave_year_fe",1547
eq5_persistence_heterogeneity_extended,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,urban + female + multigenerational_hh,persist_same ~ parent_ed_score + urban + female + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 + multigenerational_hh | region + cohort + wave_year_fe,2741
