model,model_family,specification,specification_label,term,term_label,estimate,std.error,statistic,p.value,n_used
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,parent_rank,Parent rank,0.14024046843365856,0.037620563832159296,3.7277609410461943,0.0025324671494570206,2874
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,wave_year_fe::2016:parent_rank,Parent rank x 2016,0.16901233830117196,0.04591285714149657,3.6811548839206667,0.0027677516957046715,2874
eq2_persistence_trend_minimal,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,wave_year_fe::2022:parent_rank,Parent rank x 2022-23,0.11039967364082726,0.06435185582169121,1.7155631680106824,0.10996207350032958,2874
eq3_attainment_score_minimal,eq3_attainment_score,minimal,Minimal parental association + fixed effects,parent_ed_score,Parent education score,0.23465555922467665,0.019728240133854734,11.894398974898674,2.3233222774791166e-8,2874
eq5_persistence_heterogeneity_minimal,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,parent_ed_score,Parent education score,0.0818710644687218,0.013012440751495321,6.291753102454174,2.7807479981240256e-5,2741
eq5_persistence_heterogeneity_minimal,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,parent_ed_score:wave2022,Parent education score x 2022-23,0.16094387207298474,0.03954965850373542,4.0694124339350175,0.001327115132768967,2741
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,parent_rank,Parent rank,0.15488356791905727,0.04067466759494433,3.807863151125262,0.002174615584544415,2741
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,wave_year_fe::2016:parent_rank,Parent rank x 2016,0.15447500171596457,0.04684008605562608,3.2979230980172414,0.0057707325453613565,2741
eq2_persistence_trend_demographic,eq2_persistence_trend,demographic,Add standard demographics,wave_year_fe::2022:parent_rank,Parent rank x 2022-23,0.09315952617862341,0.06692515426470474,1.3919956883499371,0.1872806161260845,2741
eq3_attainment_score_demographic,eq3_attainment_score,demographic,Add standard demographics,parent_ed_score,Parent education score,0.24263003874950057,0.021294030588949027,11.394274923011446,3.8797502068445266e-8,2741
eq5_persistence_heterogeneity_demographic,eq5_persistence_heterogeneity,demographic,Add standard demographics,parent_ed_score,Parent education score,0.0818710644687218,0.013012440751495321,6.291753102454174,2.7807479981240256e-5,2741
eq5_persistence_heterogeneity_demographic,eq5_persistence_heterogeneity,demographic,Add standard demographics,parent_ed_score:wave2022,Parent education score x 2022-23,0.16094387207298474,0.03954965850373542,4.0694124339350175,0.001327115132768967,2741
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,parent_rank,Parent rank,0.15474203467966982,0.04068927649143853,3.8030176012647763,0.0021947192475303095,2741
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,wave_year_fe::2016:parent_rank,Parent rank x 2016,0.1543235749636111,0.0469585478760727,3.286378773272188,0.005900347683950155,2741
eq2_persistence_trend_extended,eq2_persistence_trend,extended,Add potentially endogenous household controls,wave_year_fe::2022:parent_rank,Parent rank x 2022-23,0.09374627210583704,0.06663695651110386,1.406821034664389,0.18293527131545242,2741
eq3_attainment_score_extended,eq3_attainment_score,extended,Add potentially endogenous household controls,parent_ed_score,Parent education score,0.24257271183180654,0.02118651037666126,11.44939433249097,3.6632305900396124e-8,2741
eq5_persistence_heterogeneity_extended,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,parent_ed_score,Parent education score,0.0819586024294432,0.013094358543066098,6.259077308742476,2.9290940557034125e-5,2741
eq5_persistence_heterogeneity_extended,eq5_persistence_heterogeneity,extended,Add potentially endogenous household controls,parent_ed_score:wave2022,Parent education score x 2022-23,0.16107055490486016,0.03963738548225099,4.0636018986919575,0.0013416666111630373,2741
