model,term,estimate,std.error,statistic,p.value,model_family,specification,specification_label,n_used
eq2_persistence_trend_minimal,parent_rank,0.14024046843365856,0.037620563832159296,3.7277609410461943,0.0025324671494570206,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq2_persistence_trend_minimal,wave_year_fe::2016:parent_rank,0.16901233830117196,0.04591285714149657,3.6811548839206667,0.0027677516957046715,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq2_persistence_trend_minimal,wave_year_fe::2022:parent_rank,0.11039967364082726,0.06435185582169121,1.7155631680106824,0.10996207350032958,eq2_persistence_trend,minimal,Minimal parental association + fixed effects,2874
eq3_attainment_score_minimal,parent_ed_score,0.23465555922467665,0.019728240133854734,11.894398974898674,2.3233222774791166e-8,eq3_attainment_score,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::no_formal,0.6371104843239656,0.06535264164412105,9.748809968438028,2.4150665014202426e-7,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::primary,0.6794090021895198,0.03422698967181543,19.85009516478121,4.176461565226642e-11,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::lower_secondary,0.49089301927027595,0.03945956149142126,12.440407361774636,1.3546591324873487e-8,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::post_secondary_non_tertiary,-0.012806263442446203,0.05034045567374477,-0.2543930775168837,0.8031715385094137,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_full_lpm_minimal,parent_ed_level::tertiary,-0.4198890102964174,0.05324935599231926,-7.885334995544032,2.6181409601478825e-6,eq4_upward_full_lpm,minimal,Minimal parental association + fixed effects,2874
eq4_upward_lowparent_lpm_minimal,parent_ed_level::no_formal,0.6425074239373707,0.06525738055593809,9.845743400420718,2.1542429466107853e-7,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq4_upward_lowparent_lpm_minimal,parent_ed_level::primary,0.7396719501576828,0.029286894424354434,25.256073226479945,1.9648974409697803e-12,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq4_upward_lowparent_lpm_minimal,parent_ed_level::lower_secondary,0.5548202103295268,0.03285487196166534,16.88699961993108,3.173967003325128e-10,eq4_upward_lowparent_lpm,minimal,Minimal parental association + fixed effects,1648
eq5_persistence_heterogeneity_minimal,parent_ed_score,0.0818710644687218,0.013012440751495321,6.291753102454174,2.7807479981240256e-5,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,urban,-0.09198316530824774,0.10296557581215182,-0.8933390075539406,0.3879144894598665,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,female,0.15026194869697812,0.05927534449685626,2.5349822927633503,0.024889472200015566,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
eq5_persistence_heterogeneity_minimal,parent_ed_score:urban,0.023183817032867367,0.020102753481448053,1.15326574811071,0.26956537867924807,eq5_persistence_heterogeneity,minimal,Minimal parental association + fixed effects,2741
