outcome,outcome_label,group,group_value,estimate,n_non_missing
any_remote_challenge,Any remote-learning challenge,overall,all,0.7581697426019285,176
challenge_balance,Work/home-school balance challenge,overall,all,0.6512618163519993,176
challenge_cost,Cost challenge,overall,all,0.662722156818835,176
challenge_device,Device challenge,overall,all,0.6346369768214408,176
challenge_internet,Internet challenge,overall,all,0.725899346313982,176
challenge_tech,Technology-learning challenge,overall,all,0.6734600626502288,176
education_stopped_covid,Stopped education due to COVID,overall,all,0.7828254243430521,186
no_support_needed,No additional support needed,overall,all,0.025355710677040098,176
school_closed_no_online,School closed without online learning,overall,all,0.8518658368541796,186
shared_device,Child used shared device,overall,all,0.6051716577980987,176
support_father,Learning support from father,overall,all,0.03719194635324233,176
support_grand_relatives,Learning support from grandparents/relatives,overall,all,0.06562293201078265,176
support_mother,Learning support from mother,overall,all,0.8701658074459887,176
switched_hybrid,Switched to hybrid learning,overall,all,0.8334268382409573,186
switched_online,Switched to online learning,overall,all,0.9301443018677237,186
any_remote_challenge,Any remote-learning challenge,parent_education,above_median_parent_edu,0.729210589347383,66
any_remote_challenge,Any remote-learning challenge,parent_education,lower_or_equal_median_parent_edu,0.7752012493525711,107
challenge_balance,Work/home-school balance challenge,parent_education,above_median_parent_edu,0.6313728196116332,66
challenge_balance,Work/home-school balance challenge,parent_education,lower_or_equal_median_parent_edu,0.6618518502476984,107
challenge_cost,Cost challenge,parent_education,above_median_parent_edu,0.6530294938822507,66
challenge_cost,Cost challenge,parent_education,lower_or_equal_median_parent_edu,0.6672215995223896,107
challenge_device,Device challenge,parent_education,above_median_parent_edu,0.6052749897869929,66
challenge_device,Device challenge,parent_education,lower_or_equal_median_parent_edu,0.6508332771245882,107
challenge_internet,Internet challenge,parent_education,above_median_parent_edu,0.6851802721077429,66
challenge_internet,Internet challenge,parent_education,lower_or_equal_median_parent_edu,0.7497888866194335,107
challenge_tech,Technology-learning challenge,parent_education,above_median_parent_edu,0.6606380795608828,66
challenge_tech,Technology-learning challenge,parent_education,lower_or_equal_median_parent_edu,0.6799533499211842,107
education_stopped_covid,Stopped education due to COVID,parent_education,above_median_parent_edu,0.7803774337109722,69
education_stopped_covid,Stopped education due to COVID,parent_education,lower_or_equal_median_parent_edu,0.7824707421823205,114
no_support_needed,No additional support needed,parent_education,above_median_parent_edu,0.015164398459924433,66
no_support_needed,No additional support needed,parent_education,lower_or_equal_median_parent_edu,0.031765058950790064,107
school_closed_no_online,School closed without online learning,parent_education,above_median_parent_edu,0.8196713762244314,69
school_closed_no_online,School closed without online learning,parent_education,lower_or_equal_median_parent_edu,0.8703259745387303,114
shared_device,Child used shared device,parent_education,above_median_parent_edu,0.6030086919916043,66
shared_device,Child used shared device,parent_education,lower_or_equal_median_parent_edu,0.6045963558434859,107
support_father,Learning support from father,parent_education,above_median_parent_edu,0,66
support_father,Learning support from father,parent_education,lower_or_equal_median_parent_edu,0.060098350659080084,107
support_grand_relatives,Learning support from grandparents/relatives,parent_education,above_median_parent_edu,0.063707524175208,66
support_grand_relatives,Learning support from grandparents/relatives,parent_education,lower_or_equal_median_parent_edu,0.06579688645749579,107
support_mother,Learning support from mother,parent_education,above_median_parent_edu,0.9167005301828006,66
support_mother,Learning support from mother,parent_education,lower_or_equal_median_parent_edu,0.842339703932634,107
switched_hybrid,Switched to hybrid learning,parent_education,above_median_parent_edu,0.8174473232674359,69
switched_hybrid,Switched to hybrid learning,parent_education,lower_or_equal_median_parent_edu,0.8469509766072573,114
switched_online,Switched to online learning,parent_education,above_median_parent_edu,0.9533722568662337,69
switched_online,Switched to online learning,parent_education,lower_or_equal_median_parent_edu,0.9164429823507743,114
