region,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
Andijan region,2022,rank_rank_slope,0.5607539761299849,0.09663912446028025,0.3681074024043141,0.7534005498556557,44.84013211819462,74,ok
Andijan region,2022,upward_mobility_rate,0.09347018540138295,0.04347045203694241,0.008269665017300018,0.1786707057854659,44.84013211819462,74,ok
Bukhara region,2010,rank_rank_slope,0.044357135824653116,0.09096357414660268,-0.13602704525114484,0.22474131690045107,99.78437782202273,106,ok
Bukhara region,2016,rank_rank_slope,0.29503547578622835,0.08980686556865175,0.1170411878740259,0.4730297636984308,82.64420812430885,111,ok
Bukhara region,2022,rank_rank_slope,0.41888285967938804,0.1424735147663734,0.13115175940591267,0.7066139599528634,25.147128138694352,43,ok
Bukhara region,2010,upward_mobility_rate,0.25098887733956393,0.04340503338453425,0.16591657515811814,0.3360611795210097,99.78437782202273,106,ok
Bukhara region,2016,upward_mobility_rate,0.2032252882102736,0.044263977215279506,0.11646948705582424,0.289981089364723,82.64420812430885,111,ok
Bukhara region,2022,upward_mobility_rate,0.12653262180267444,0.06629494291132187,0,0.25646832226600424,25.147128138694352,43,ok
Fergana region,2022,rank_rank_slope,0.1206853819716748,0.08291899087605764,-0.04386465678254731,0.2852354207258969,57.51604745553552,100,ok
Fergana region,2022,upward_mobility_rate,0.2688720391770419,0.05846217927315178,0.1542882733439404,0.38345580501014337,57.51604745553552,100,ok
Jizzakh region,2010,rank_rank_slope,0.12579925417881774,0.13258801324532973,-0.14013862241515493,0.3917371307727904,52.58712222591823,55,ok
Jizzakh region,2016,rank_rank_slope,0.32490985280587154,0.10221417468696077,0.1214971626276388,0.5283225429841043,59.11978738819256,82,ok
Jizzakh region,2022,rank_rank_slope,0.4572481809323536,0.17330410968554022,0.10379211891293633,0.8107042429517708,23.9659640715477,33,ok
Jizzakh region,2010,upward_mobility_rate,0.34615028918034596,0.06560419560036952,0.21756842856890066,0.47473214979179124,52.58712222591823,55,ok
Jizzakh region,2016,upward_mobility_rate,0.2079223259785522,0.05277983360917812,0.10447575299454641,0.311368898962558,59.11978738819256,82,ok
Jizzakh region,2022,upward_mobility_rate,0.10686955160404521,0.06310837381963821,0,0.23055969141342653,23.9659640715477,33,ok
Karakalpakstan republic,2010,rank_rank_slope,0.3240416225263334,0.10635025443872348,0.11107891142597953,0.5370043336266872,55.53574445088616,59,ok
Karakalpakstan republic,2016,rank_rank_slope,0.3726479342866616,0.08375857532130661,0.2067070899275354,0.5385887786457878,82.55933616953601,115,ok
Karakalpakstan republic,2022,rank_rank_slope,0.34119192283673794,0.09740235628058744,0.14226977342605435,0.5401140722474216,22.931696155255697,32,ok
Karakalpakstan republic,2010,upward_mobility_rate,0.28339230499654966,0.060471182541475085,0.1648709651127112,0.4019136448803881,55.53574445088616,59,ok
Karakalpakstan republic,2016,upward_mobility_rate,0.27551458411600194,0.049170432004083504,0.17914230828372266,0.3718868599482812,82.55933616953601,115,ok
Karakalpakstan republic,2022,upward_mobility_rate,0.13850500448972536,0.07213416733044993,0,0.279885374512193,22.931696155255697,32,ok
Kashkadarya region,2022,rank_rank_slope,0.11690545690044976,0.09194882217705369,-0.06622649371867595,0.30003740751957547,56.88597796989582,78,ok
Kashkadarya region,2022,upward_mobility_rate,0.4298107378383275,0.06563651793924825,0.3011655266067838,0.5584559490698713,56.88597796989582,78,ok
Khorezm region,2010,rank_rank_slope,0.21357908159992922,0.10461391733705219,0.004768828647861267,0.4223893345519972,64.70546763104015,69,ok
Khorezm region,2016,rank_rank_slope,0.335512465232951,0.09560586181549469,0.1456031654941491,0.5254217649717529,68.563008273215,93,ok
Khorezm region,2022,rank_rank_slope,0.03618663757023697,0.07788195132132206,-0.12077412175716315,0.19314739689763707,36.21265080063848,46,ok
Khorezm region,2010,upward_mobility_rate,0.21758895956512214,0.051293864791573045,0.11705483194577188,0.3181230871844724,64.70546763104015,69,ok
Khorezm region,2016,upward_mobility_rate,0.2735058977230163,0.053833728773429346,0.1679937281735972,0.3790180672724354,68.563008273215,93,ok
Khorezm region,2022,upward_mobility_rate,0.3169849496351876,0.07732221734390135,0.16543618843636265,0.4685337108340125,36.21265080063848,46,ok
Namangan region,2010,rank_rank_slope,0.1516410513972389,0.06561025383503348,0.0219419803211027,0.28134012247337514,135.1461271350661,144,ok
Namangan region,2016,rank_rank_slope,0.2825540675906836,0.07482060327730672,0.1347468593064754,0.43036127587489176,106.52601136491835,156,ok
Namangan region,2022,rank_rank_slope,0.45944056810760475,0.10287414825195737,0.25386298687842906,0.6650181493367804,45.38530202872891,65,ok
Namangan region,2010,upward_mobility_rate,0.29627620458953396,0.0392778495323191,0.21929303411600515,0.3732593750630628,135.1461271350661,144,ok
Namangan region,2016,upward_mobility_rate,0.21761823305236422,0.03997874596454881,0.13926133081477254,0.2959751352899559,106.52601136491835,156,ok
Namangan region,2022,upward_mobility_rate,0.17760664091260012,0.05672986925356221,0.06641814032795205,0.28879514149724816,45.38530202872891,65,ok
Navoi region,2010,rank_rank_slope,0.1415519407328743,0.15382959262166904,-0.16934926321562044,0.45245314468136905,38.384572842917144,42,ok
Navoi region,2016,rank_rank_slope,0.5599425447605844,0.12386465142506499,0.3089689216073899,0.8109161679137789,30.305985545974487,39,ok
Navoi region,2022,rank_rank_slope,0.2953285416836857,0.12369746673719377,0.04445845145750421,0.5461986319098673,26.098727333917225,38,ok
Navoi region,2010,upward_mobility_rate,0.4334968739412481,0.07998633253963489,0.27672654290811954,0.5902672049743767,38.384572842917144,42,ok
Navoi region,2016,upward_mobility_rate,0.27536098850029334,0.08114240123793878,0.11632480445483506,0.4343971725457516,30.305985545974487,39,ok
Navoi region,2022,upward_mobility_rate,0.21134450606642416,0.07991521695854348,0.05471355901097441,0.3679754531218739,26.098727333917225,38,ok
Samarkand region,2010,rank_rank_slope,0.1411504477417976,0.06927005206907472,0.0043152783170299636,0.2779856171665652,143.52424257754475,157,ok
Samarkand region,2016,rank_rank_slope,0.20403483305254036,0.06644712951915123,0.07305665105155729,0.33501301505352343,164.05147619389103,215,ok
Samarkand region,2022,rank_rank_slope,0.12728686151137494,0.04974343996929137,0.02819284760106841,0.22638087542168148,39.03393647055712,77,ok
Samarkand region,2010,upward_mobility_rate,0.2673543836366163,0.03694264618805325,0.19494812761442604,0.33976063965880654,143.52424257754475,157,ok
Samarkand region,2016,upward_mobility_rate,0.22774389514973656,0.032742661314943494,0.16356945821445446,0.29191833208501866,164.05147619389103,215,ok
Samarkand region,2022,upward_mobility_rate,0.27042039946318563,0.07109431771666141,0.1310780972330814,0.4097627016932899,39.03393647055712,77,ok
Sirdarya region,2010,rank_rank_slope,-0.1956312183331958,0.11775000310043365,-0.43309673104489244,0.041834294378500836,43.01325331431468,45,ok
Sirdarya region,2016,rank_rank_slope,0.33777925942673764,0.13385544163849072,0.06783403445019814,0.6077244844032772,33.23613013830603,45,ok
Sirdarya region,2010,upward_mobility_rate,0.3590172886870768,0.07314416617665978,0.21565735730161084,0.5023772200725427,43.01325331431468,45,ok
Sirdarya region,2016,upward_mobility_rate,0.3437273551128413,0.08238420853869294,0.182257273482166,0.5051974367435166,33.23613013830603,45,ok
Surkhandarya region,2022,rank_rank_slope,0.17978606619198062,0.12625588311943478,-0.07259584802166485,0.4321679804056261,35.53897731906463,64,ok
Surkhandarya region,2022,upward_mobility_rate,0.21367604503331034,0.06875847065406075,0.07891191891929708,0.3484401711473236,35.53897731906463,64,ok
Tashkent city,2010,rank_rank_slope,0.04460689883433903,0.0817524154869442,-0.11711888015710764,0.20633267782578568,120.15090522671014,133,ok
Tashkent city,2016,rank_rank_slope,0.3453838160641662,0.0674066140030886,0.21226868929327775,0.4784989428350546,121.89846744824749,163,ok
Tashkent city,2022,rank_rank_slope,0.7342603434368494,0.08982164584909748,0.5542537426465205,0.9142669442271784,27.66327044912237,57,ok
Tashkent city,2010,upward_mobility_rate,0.40944949628216387,0.044860609427911945,0.3215243174789385,0.49737467508538924,120.15090522671014,133,ok
Tashkent city,2016,upward_mobility_rate,0.26153724892077546,0.03980447954203126,0.18352190259503282,0.3395525952465181,121.89846744824749,163,ok
Tashkent city,2022,upward_mobility_rate,0.033796981051686825,0.0343574867644633,0,0.10113641770934646,27.66327044912237,57,ok
Tashkent region,2010,rank_rank_slope,0.17218616311804766,0.09583661515904039,-0.01792790159126595,0.36230022782736127,93.29862841331655,103,ok
Tashkent region,2016,rank_rank_slope,0.20540252061731595,0.07262723530424646,0.06199753336007224,0.34880750787455966,129.02598678733435,166,ok
Tashkent region,2022,rank_rank_slope,0.30668849783803787,0.11506231909487738,0.07660717083170754,0.5367698248443682,38.75458913465623,63,ok
Tashkent region,2010,upward_mobility_rate,0.331534415566541,0.048737831899490484,0.2360100203589723,0.4270588107741097,93.29862841331655,103,ok
Tashkent region,2016,upward_mobility_rate,0.33296514199664257,0.04148919946875333,0.2516478052904877,0.41428247870279744,129.02598678733435,166,ok
Tashkent region,2022,upward_mobility_rate,0.21671722825002004,0.06618269340808383,0.08700153277031933,0.3464329237297208,38.75458913465623,63,ok
